stage,epidermis,exocrine.pancreas,eye,fast.muscle,glial,iridophores,liver,melanocytes,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0
 24-34,0,0,0.82,0,0,0,0,7.39,0.82,0,0,0,0,0.82,0,0.82,2.46
 36-46,0.81,0,0.81,0.81,0,2.42,0,22.56,0,0,0.81,0,0,0,0,0,11.28
 48-58,0,0,1.72,0,0,5.74,0,40.17,0,2.87,0.57,0,0,0.57,0,1.15,18.94
 60-70,0,0,2.94,0,0,20.61,0,15.7,0,0.98,0.98,0,0,0,0,0,9.82
 72-82,0,0,3.93,0,0,25.52,0,32.39,1.96,5.89,0.98,0,0,0.98,0.98,0,9.82
 84-94,0,0,3.19,0,1.06,43.54,0,54.16,1.06,2.12,2.12,0,0,0,0,0,8.5
 96-106,0,0,3.28,0,2.19,43.71,2.19,41.53,0,5.46,0,0,0,0,0,0,13.11
108-118,0.77,0.77,2.3,0,0.77,68.94,0,53.62,0.77,4.6,1.53,0,0.77,0.77,0,0.77,22.21
120,0,0,0,0,0,37.24,0,19.6,0,0,1.96,0,0,0,0,0,7.84
