stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,15.77,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,12.59,18.88,0,6.29,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,283.23,40.91,0,0,72.38,0,3.15,3.15,0,0,0,15.73,0,0,0,0,0,0
 14-21,0,0,262,2,0,2,0,10,0,0,0,4,0,0,0,0,0,0,70,1,0,195,17,202,0,1,1,0,0,0,69,0,7,190,1,0,0,0,0,0
 24-34,0,4.1,104.25,0,0,0.82,3.28,90.29,4.1,0,0,7.39,0,0.82,0,1.64,0,0,77.98,0.82,0,193.72,31.19,6.57,0,4.1,0,0.82,2.46,0,0.82,0,0.82,39.4,3.28,0,0,0.82,0,0
 36-46,0,0,23.36,0,0,4.03,37.87,122.46,10.47,1.61,0,3.22,0,0,0,0,0.81,0,137.77,0,0.81,122.46,33.03,0.81,0.81,2.42,0,0,1.61,0,0,0,14.5,0,9.67,0,0,0,0,0
 48-58,0,0,10.9,0.57,0,21.23,53.94,134.84,16.07,4.59,0,2.3,0,0,0,0.57,0,0.57,160.67,0,1.15,76.89,49.92,0.57,0,7.46,0,1.15,0.57,0,0,0,21.23,0,7.46,0,0,0,0,1.72
 60-70,0,0,17.67,0,0,19.63,48.09,113.86,13.74,8.83,1.96,3.93,0,0.98,0,0,0.98,0,211.03,0,0.98,103.06,32.39,0.98,0,2.94,0,0.98,0,0,0,0,27.48,0,7.85,0,0,1.96,0,0
 72-82,0,0,24.54,0,0,26.5,51.05,115.84,32.39,4.91,2.94,3.93,0,0.98,0.98,1.96,0.98,0.98,320.02,0,5.89,128.6,30.43,0,0,8.83,0,0,2.94,0,0,0,18.65,0,1.96,4.91,3.93,1.96,3.93,0
 84-94,0,0,55.23,3.19,0,33.99,83.9,193.29,30.8,3.19,5.31,0,1.06,3.19,0,1.06,1.06,0,236.83,0,7.43,98.77,14.87,0,0,6.37,0,0,5.31,0,0,0,46.73,0,1.06,8.5,7.43,1.06,0,0
 96-106,0,0,113.66,0,1.09,34.97,92.89,194.53,37.16,12.02,34.97,2.19,3.28,2.19,1.09,1.09,0,0,249.17,1.09,14.21,81.96,43.71,0,6.56,1.09,0,2.19,3.28,0,0,0,39.34,0,1.09,17.49,4.37,1.09,4.37,2.19
108-118,0,0.77,89.62,1.53,0,16.85,33.7,219.83,20.68,2.3,37.53,2.3,0.77,0,0,0,0.77,0.77,277.28,0,4.6,96.51,43.66,0.77,0.77,3.06,0,0.77,2.3,0,0,0.77,32.17,0,1.53,13.79,0.77,0.77,0.77,0
120,0,0,70.55,3.92,1.96,9.8,15.68,156.78,17.64,1.96,9.8,0,0,1.96,0,0,0,0,256.73,3.92,7.84,78.39,25.48,0,0,9.8,0,5.88,1.96,0,0,1.96,15.68,0,0,7.84,1.96,1.96,3.92,0
