stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,105.42,2108.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0,0
  5-6,30.65,674.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.04,0,0,0,12.26,0,18.39,0,0,0,0,0,0,0,0,0
  7-9,5.26,21.03,55.2,0,0,0,89.38,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,620.38,15.77,0,0,199.78,0,0,15.77,0,0,0,0,0,0,0,0
 10-12,0,25.18,50.35,0,3.15,0,107,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,1044.79,12.59,0,0,305.26,0,0,18.88,0,22.03,6.29,6.29,0,0,0,0
 14-21,0,0,7,38,13,0,38,0,0,0,13,3,0,1,1,0,0,0,0,0,33,0,0,25,571,13,2,3,11,0,10,2,27,1,19,142,0,0,4,0
 24-34,0,0,0,18.88,7.39,0,194.54,0,0,0.82,16.42,0.82,0,2.46,0,2.46,0,0.82,0,0,96.04,0,0.82,33.66,986.67,3.28,3.28,6.57,0,0,35.3,0.82,0.82,0.82,3.28,185.51,0,0,15.6,0.82
 36-46,0,0,0,8.06,0.81,0,290.04,0,0.81,0,24.17,0.81,0,0,1.61,0.81,0,0,1.61,0,64.45,1.61,1.61,19.34,479.37,0.81,2.42,0.81,0,0,8.06,0,0,0,0,98.29,0,0,8.06,2.42
 48-58,0,0,0,12.05,0,0,315.02,1.15,0,0.57,28.12,0,0,1.72,1.15,0,0.57,0.57,1.15,0.57,79.19,0.57,7.46,25.82,224.36,1.15,0.57,1.15,0,0,2.87,0,0,0.57,0,35,0,0,6.89,0.57
 60-70,0,0,0,9.82,1.96,0,176.67,0,0,0.98,34.35,0,0,0.98,0.98,0.98,1.96,1.96,1.96,0,54.97,0.98,6.87,8.83,126.62,0,0,4.91,0,0.98,3.93,0,0,0.98,0,5.89,0,0,4.91,0
 72-82,0,0,0,8.83,1.96,0,75.59,0.98,0,0.98,41.23,3.93,0,1.96,2.94,1.96,0,2.94,2.94,0,69.7,0,3.93,12.76,126.63,0,0,4.91,0,0,2.94,0,0,0,0,4.91,0,0,10.8,0
 84-94,0,0,1.06,19.12,8.5,0,89.21,0,0,1.06,11.68,2.12,0,0,4.25,5.31,2.12,3.19,0,0,58.41,0,5.31,13.81,91.34,1.06,0,7.43,0,1.06,6.37,0,0,0,0,1.06,1.06,0,7.43,0
 96-106,0,0,0,18.58,3.28,0,57.92,0,0,2.19,27.32,5.46,0,1.09,6.56,0,4.37,3.28,1.09,0,37.16,1.09,3.28,7.65,74.31,0,3.28,3.28,0,1.09,2.19,1.09,0,0,0,1.09,0,1.09,9.84,0
108-118,0,0,0,15.32,4.6,0.77,37.53,0,0.77,0,23.74,2.3,0,0,7.66,0,4.6,0,0.77,0.77,30.64,0.77,3.06,8.43,101.11,0,0.77,4.6,0,0,2.3,0.77,0,1.53,0,3.83,0.77,0,3.83,0
120,0,0,0,5.88,13.72,1.96,27.44,0,0,0,21.56,7.84,0,1.96,3.92,1.96,1.96,0,0,0,27.44,0,0,11.76,78.39,0,1.96,1.96,0,0,0,0,0,0,0,1.96,0,0,13.72,0
