stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,18.4,0,0,0,13.14,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,15.73,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,1,4,1,0,0,0,53,0,3,0,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0.82,0,0,0,0,0,1.64,0,0,0,0,1.64,0,0,1.64,36.12,0.82,0.82,0,0,296.33,0,0,3.28,0,0,1.64,0,0
 36-46,0,0,0,0,2.42,0,0,4.83,0,4.83,0,1.61,0,0,0,0,0,0,4.03,3.22,0,0.81,61.23,0,0.81,0.81,0,402.83,0,0,10.47,0,0,0,0,0
 48-58,0,0,0,0,1.15,0,0,14.92,0,8.03,0,1.72,0.57,0,0,0,0,0,5.74,2.3,0.57,0.57,53.94,0,0.57,0,0,535.93,0,0,8.61,0,0.57,0.57,0,0
 60-70,0,0,0,0,1.96,0,0,21.59,0,6.87,0,0.98,0,0,0,0.98,0.98,0,7.85,3.93,0,0,40.24,0,0,0,0,472.11,0,0,5.89,0,0,0.98,0,0
 72-82,0,0,0,0,2.94,0.98,0,12.76,0,10.8,0,5.89,0,0,0,1.96,0.98,0,11.78,1.96,0.98,0,34.36,0,0,0.98,0,557.58,0,0,2.94,0,0,1.96,0,0.98
 84-94,0,0,1.06,0,7.43,2.12,0,7.43,0,15.93,1.06,0,0,0,0,3.19,1.06,0,8.5,11.68,0,0,14.87,0,1.06,1.06,0,1072.66,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,9.84,2.19,0,7.65,1.09,17.49,1.09,1.09,1.09,0,1.09,13.11,0,2.19,7.65,8.74,0,1.09,19.67,0,0,0,0,1301.58,1.09,0,0,1.09,0,1.09,0,0
108-118,0,0,0,0,18.38,0,0.77,6.13,0,11.49,0.77,2.3,0,0,0,6.89,0,0,5.36,9.96,0,0,19.92,0,0.77,0,0,790.47,0,0,0,0,0,0,0.77,0
120,0,0,0,1.96,5.88,0,0,3.92,0,15.68,0,5.88,0,0,1.96,7.84,0,0,1.96,3.92,0,0,13.72,0,0,0,0,454.67,0,0,0,0,0,0,0,0
