stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,26.36,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,3.15,0,0,12.59,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,4,2,0,10,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,29,1,0,0,1,0,0,1,1,0,1,15,0,0,0
 24-34,0,0,0.82,0,5.75,0,0,6.57,0,0,0,2.46,1.64,0,0,0,0,1.64,0,2.46,0,0,0.82,41.86,0.82,14.78,0,0,4.1,0,0,0,0,0,15.6,0,4.1,0
 36-46,0,0,0,0,3.22,0,0,15.31,0.81,0,0,2.42,1.61,0.81,0.81,0,0,0.81,0,3.22,0,0,2.42,42.7,0,24.98,2.42,0,6.45,0,0,0,0,0,14.5,0,0.81,0
 48-58,0,0,0.57,0,2.3,0,0,25.25,0,0,0,4.59,0.57,0,0,0.57,0,0.57,0.57,3.44,0,0.57,1.72,23.53,0,26.97,5.16,0,2.3,0,0,0,0,0,4.59,0,1.15,0
 60-70,0,0,0.98,0,3.93,0,0,49.08,1.96,0,0,4.91,0.98,0.98,0,0,0,0,0,1.96,0,0,0.98,28.46,0,35.33,1.96,0,3.93,0,0,0.98,0,0,4.91,0,0,0
 72-82,0,0,0.98,0,4.91,0,0,37.3,0,0,1.96,8.83,2.94,0,2.94,1.96,0.98,1.96,0,8.83,0,0,0.98,34.36,0,70.68,3.93,0,0,0,0,0.98,0,0,4.91,0,0.98,0.98
 84-94,0,0,3.19,0,0,0,0,32.92,0,0,0,8.5,8.5,0,1.06,0,0,1.06,0,11.68,0,0,0,9.56,2.12,84.96,3.19,0,5.31,0,0,2.12,2.12,0,1.06,0,1.06,0
 96-106,0,0,0,0,4.37,0,2.19,24.04,0,0,0,14.21,8.74,0,6.56,0,0,1.09,1.09,7.65,1.09,0,1.09,15.3,0,116.93,3.28,0,4.37,0,0,2.19,0,0,3.28,0,0,0
108-118,0,0,0,0,3.83,3.83,3.06,26.04,0,1.53,0,6.89,11.49,0,6.89,0.77,0,2.3,0.77,3.06,0,0,0,14.55,0,81.19,6.13,0,0.77,0,0,1.53,0,0,1.53,1.53,3.06,0
120,1.96,0,0,0,13.72,5.88,0,15.68,0,0,0,3.92,17.64,0,5.88,1.96,0,1.96,1.96,13.72,0,0,1.96,21.56,1.96,52.91,3.92,0,3.92,0,0,3.92,0,0,1.96,3.92,7.84,0
