stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,13.18,395.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0
  5-6,18.39,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,47.32,0,0,0,15.77,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,66.09,3.15,0,0,9.44,0,0,3.15,0,3.15,0,0,0,0
 14-21,0,0,0,1,9,0,1,0,0,0,0,0,0,0,0,0,3,0,1,29,0,0,2,1,0,0,0,5,0,3,6,0,1
 24-34,0,0,0,0,3.28,0,1.64,0,1.64,0,0,0,0,0,0,0,3.28,0,1.64,18.06,0,0,2.46,0,0,0,0,0,0,1.64,4.93,0,0
 36-46,0,0,0,0,0,0.81,5.64,0,1.61,0,0,0,0,0,0,0,5.64,0,0,13.7,0.81,0,0,0,0,0,0,0,0,0,2.42,0,1.61
 48-58,0,0,0,0,1.15,0,1.15,0,0,0,0,0,0,0,0,0.57,5.16,0,0.57,13.2,0,0.57,0,0,0,0,0,0,0,0,1.72,0,0
 60-70,0,0,0,0,0,0,6.87,0.98,1.96,0,0,0,0,0,0,0,6.87,0.98,0,10.8,0.98,0,0,0,0,0,0,0,0,0,0,0,1.96
 72-82,0,0,0.98,0,2.94,2.94,5.89,0,1.96,0,0,0,0.98,0,0,0.98,8.83,0.98,0.98,3.93,0.98,0,0.98,0,0.98,0.98,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,3.19,0,1.06,0,1.06,0,1.06,1.06,1.06,0,2.12,0,2.12,2.12,1.06,6.37,1.06,0,0,0,0,1.06,0,0,0,0,1.06,0,1.06
 96-106,0,0,0,0,1.09,3.28,2.19,0,2.19,0,0,0,1.09,1.09,0,0,2.19,0,2.19,3.28,0,2.19,0,0,0,6.56,0,0,0,0,0,0,0
108-118,0,0,0,0.77,2.3,2.3,2.3,0.77,3.83,0,0,0,0,0.77,0,0,6.13,0,0,7.66,0,1.53,0.77,0,0.77,6.89,0,0,0,0,0,0.77,0.77
120,0,0,0,0,5.88,1.96,0,0,0,1.96,0,0,0,0,0,0,3.92,1.96,1.96,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0
