stage,blastomeres,epidermis,erythrocytes,eye,glial,immune,mesenchyme,neural,notochord,spinal_cord,vasculature
  5-6,12.26,0,0,0,0,0,0,0,6.13,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,2,0,2,0
 24-34,0,0,0,0,0,0,0,8.21,0,4.1,0
 36-46,0,0,0,5.64,0,0,0,24.98,0,8.86,0
 48-58,0,0,0,5.16,0,0,0,24.67,0,11.48,0
 60-70,0,0.98,0,19.63,0.98,0,0.98,60.85,0,16.69,0
 72-82,0,0,0.98,21.6,0.98,0,0,40.25,0,6.87,0
 84-94,0,0,0,13.81,0,0,0,23.36,0,5.31,1.06
 96-106,0,0,0,10.93,0,0,2.19,15.3,0,2.19,0
108-118,0,0,0,3.83,0,0.77,0,17.62,0,0.77,0
120,0,0,0,9.8,0,0,0,21.56,0,1.96,0
