stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.35,7.89,0,0,47.32,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,12.59,0,6.29,18.88,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,229.73,94.41,0,0,157.35,0,0,3.15,0,9.44,0,0,6.29,0,0,0,0,0
 14-21,0,0,8,152,33,14,0,0,0,34,5,0,1,0,1,0,0,0,0,165,0,0,269,314,279,0,0,71,0,0,0,136,0,1,219,241,0,0,3,0,0
 24-34,0,0,0.82,100.14,4.93,18.06,0.82,6.57,20.52,18.06,0.82,0,9.03,0,0,0,1.64,0,0.82,476.1,0.82,1.64,279.91,321.78,187.98,0,2.46,0,0.82,5.75,0,0,0.82,0.82,90.29,137.9,0,0,13.13,0,0.82
 36-46,0,0,0,39.48,0,10.47,0,5.64,41.89,13.7,0,0,9.67,0,0,0,0,0,0.81,597.81,0,10.47,186.11,124.88,137.77,1.61,0,0,0.81,1.61,0,0,0,0,0,47.53,0,0,6.45,0.81,1.61
 48-58,0,0,0,28.12,0,20.08,0,6.31,36.15,20.08,0,0,5.74,0,0,1.72,0,1.15,0,779.8,0,10.33,135.42,96.97,62.54,0.57,1.15,0,2.87,2.3,0,0,0,0,0,32.13,0,1.15,6.31,0.57,1.72
 60-70,0.98,0,0,29.45,0,26.5,0,6.87,44.17,19.63,0.98,0,2.94,1.96,0.98,0,0,0,0.98,956.98,0.98,27.48,105.02,68.71,27.48,0,1.96,0,5.89,2.94,0,0,0,0,0,16.69,0,12.76,3.93,8.83,0.98
 72-82,0,0,0,20.61,0,54.97,0.98,5.89,45.16,44.17,0.98,0,4.91,1.96,0,0,0,0,0,1109.28,3.93,30.43,97.18,56.94,20.61,0.98,4.91,0,12.76,0.98,0,0,0,0,0,16.69,0,15.71,2.94,19.63,0.98
 84-94,0,0,0,35.05,2.12,62.66,0,8.5,27.61,29.74,1.06,0,1.06,1.06,1.06,0,0,1.06,2.12,768.92,0,19.12,59.47,37.17,30.8,1.06,3.19,0,2.12,0,0,0,1.06,0,0,15.93,0,14.87,3.19,19.12,0
 96-106,0,0,0,17.49,1.09,34.97,1.09,1.09,19.67,28.41,3.28,0,5.46,1.09,0,0,1.09,0,0,522.38,1.09,13.11,30.6,44.81,17.49,0,4.37,0,12.02,0,0,0,2.19,0,0,14.21,0,12.02,5.46,24.04,1.09
108-118,0,0,0,22.21,0.77,20.68,0,3.83,21.45,29.11,0.77,0,3.06,0,0,0.77,0,0,0,418.98,0,11.49,29.11,46.72,10.72,0.77,0,0,10.72,0.77,0,0,0,0,0,6.13,0,6.89,3.06,13.02,0.77
120,0,0,0,13.72,0,13.72,0,3.92,11.76,27.44,0,0,3.92,0,0,1.96,0,0,0,350.8,0,11.76,9.8,35.28,15.68,0,0,0,9.8,0,0,0,0,1.96,0,13.72,1.96,5.88,1.96,15.68,0
