stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,69.23,0,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,3,1,0,2,0,0,0,1,0,0,0,1,0,0,1,1,0,0,164,0,0,5,0,0,1,0,0,1,6,0,1,0,0
 24-34,0,0,0,4.93,2.46,0,8.21,0,0,0,2.46,0,0,0,0.82,0,0.82,4.1,0.82,0,4.1,798.69,0.82,2.46,10.67,0,1.64,0,0,0,2.46,41.04,0,0.82,0,0
 36-46,0,0,0,1.61,0,0,14.5,0.81,0,0,12.09,0,0,0,1.61,0.81,0.81,9.67,0,0,5.64,921.69,0.81,1.61,4.03,0,3.22,0,0,0,0,90.23,0,4.03,0,0
 48-58,0,0,0,0.57,0,0,32.71,0.57,0,0.57,10.33,1.72,0,0.57,0.57,0,0.57,5.74,0,0,0,469.95,0.57,0,5.16,0,1.15,0,0,0.57,0,76.89,0,0.57,0,0.57
 60-70,0,0,0,0,0,0,11.78,0,0,0,17.67,12.76,0,0,1.96,0,0,2.94,0,0,0.98,139.38,0,0,5.89,0,0,0,0,0,0,19.63,0,0.98,0,0
 72-82,0,2.94,0,0.98,0,0,16.69,0,0.98,0.98,12.76,39.27,0.98,0,6.87,0,0,1.96,0,0.98,0,95.22,0,0.98,16.69,0,0,0,0,0,0,9.82,0.98,0,0,0
 84-94,0,3.19,0,2.12,0,0,9.56,0,0,0,11.68,58.41,0,0,13.81,0,0,4.25,0,1.06,0,72.22,0,0,21.24,0,0,0,0,0,0,6.37,0,1.06,0,0
 96-106,0,2.19,0,2.19,1.09,0,24.04,0,0,0,13.11,81.96,1.09,0,13.11,1.09,0,2.19,0,0,1.09,61.2,0,0,26.23,0,2.19,0,0,0,0,3.28,0,1.09,0,0
108-118,0,0.77,0,1.53,0,0.77,5.36,0,0,0,11.49,106.47,0,0,9.19,0,0,3.06,0,0.77,0.77,71.23,0,0,10.72,0,0,0,0,0,0,1.53,0,0,0.77,0
120,0,0,0,3.92,0,0,15.68,0,0,0,7.84,70.55,1.96,0,0,0,0,3.92,0,1.96,1.96,56.83,0,0,5.88,0,1.96,0,0,0,0,0,0,0,0,0
