stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,6.29,0,0,0,9.44,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,62.94,0,0,0,50.35,0,0,0,15.73,0,6.29,0,0,0,0,0,0
 14-21,0,0,1,28,2,0,121,0,1,0,0,3,0,0,5,0,0,0,0,5,0,0,21,219,1,0,0,0,0,3,73,0,3,1000,22,0,0,0,0,0
 24-34,0,0,0.82,10.67,0.82,0,80.44,2.46,0,0,2.46,4.1,0,1.64,10.67,0.82,0,3.28,0,10.67,0,0,13.13,110.82,0.82,0.82,1.64,0,0,2.46,1.64,0,2.46,352.97,12.31,0,0,0.82,0,0
 36-46,0,0.81,0,12.09,0,0,71.7,4.03,0.81,0,4.03,0.81,0,1.61,0.81,1.61,0,12.09,4.03,11.28,0,1.61,13.7,95.07,0,0,1.61,0,0,1.61,0.81,0,0,3.22,6.45,0,0,2.42,0,0
 48-58,0,0,0,13.2,0,0,162.96,0.57,1.15,0.57,3.44,0,0,2.87,4.59,2.87,2.3,20.08,1.15,8.03,0.57,4.02,12.05,103.86,0,0,0,0,0,0,0,0,0,0,4.02,0,0,2.87,0,0
 60-70,0,0,0,22.58,0,0,353.35,4.91,0.98,0.98,9.82,0.98,0.98,2.94,3.93,3.93,0,24.54,0,18.65,0,2.94,11.78,238.51,1.96,0,0.98,0,0,1.96,0,0,0,0,18.65,0,2.94,2.94,1.96,0.98
 72-82,0,0.98,0,17.67,1.96,10.8,228.73,2.94,0,0.98,17.67,0.98,0,4.91,15.71,7.85,0.98,8.83,1.96,36.32,2.94,3.93,31.41,277.81,0,0.98,0.98,0,0,4.91,0,0,0,0,18.65,0.98,5.89,0.98,8.83,0.98
 84-94,0,0,0,25.49,1.06,29.74,150.81,3.19,2.12,5.31,12.74,3.19,0,6.37,23.36,4.25,0,21.24,6.37,31.86,0,4.25,28.68,140.19,0,0,2.12,0,1.06,13.81,0,0,0,0,11.68,2.12,7.43,6.37,6.37,0
 96-106,0,0,0,39.34,2.19,16.39,101.63,1.09,1.09,3.28,21.86,6.56,0,8.74,14.21,3.28,2.19,9.84,2.19,41.53,1.09,1.09,31.69,132.23,0,1.09,1.09,0,1.09,21.86,0,0,0,0,8.74,1.09,4.37,1.09,7.65,1.09
108-118,0,0.77,0,49.79,2.3,13.79,112.6,5.36,3.06,8.43,19.15,5.36,0,11.49,15.32,6.13,0,6.89,3.06,65.87,1.53,0.77,54.38,235.92,0,0,1.53,0.77,0,26.81,0,0,3.06,0,2.3,1.53,7.66,3.06,6.13,0
120,0,0,0,64.67,11.76,1.96,99.95,3.92,11.76,13.72,17.64,3.92,0,11.76,7.84,1.96,0,3.92,1.96,82.31,0,1.96,52.91,168.54,0,0,5.88,0,1.96,54.87,0,0,1.96,0,3.92,0,0,7.84,3.92,0
