stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,0,21,929,83,0,162,0,19,0,43,22,16,4,2,3,2,1,0,4,161,1,0,176,1258,370,2,25,67,0,53,10,225,17,9,335,564,0,0,23,0,5
 24-34,0,1.64,17.24,802.8,13.13,0,367.74,0,82.09,23.8,70.59,9.85,0.82,12.31,9.85,12.31,4.1,17.24,8.21,22.98,487.59,15.6,1.64,307.82,1960.2,206.86,6.57,34.48,0,0,295.51,0.82,0,22.98,7.39,114.1,589.37,0,0,132.98,0,31.19
 36-46,0,2.42,3.22,374.64,0.81,0,365.77,7.25,78.15,60.43,120.04,5.64,0,10.47,8.86,0.81,4.83,16.11,5.64,11.28,612.31,14.5,8.06,261.84,1373.67,165.97,4.83,31.42,0,0,230.42,4.03,0.81,14.5,2.42,3.22,418.14,0,2.42,80.57,0,19.34
 48-58,0,0,1.15,325.92,1.72,0,452.73,4.59,82.63,70.58,226.08,13.77,0,19.51,17.79,4.59,9.75,12.05,4.59,8.03,946.78,14.35,27.54,181.32,818.82,107.88,5.74,37.87,0,1.15,251.33,0.57,0,14.92,2.3,0,274.28,0,1.72,70.58,1.15,20.08
 60-70,0,0.98,0,166.86,0.98,0,425.98,9.82,57.91,57.91,247.34,19.63,1.96,19.63,3.93,3.93,10.8,7.85,7.85,2.94,1044.34,12.76,38.28,106.99,480.95,46.13,1.96,24.54,0,7.85,151.15,0.98,0,18.65,2.94,0,89.32,0,16.69,53,11.78,9.82
 72-82,0,4.91,0.98,188.48,7.85,1.96,398.55,8.83,53.01,94.24,265.05,60.86,0.98,18.65,25.52,7.85,22.58,20.61,10.8,7.85,1395.92,15.71,37.3,142.34,512.43,47.12,5.89,43.19,0,9.82,105.04,0.98,0,35.34,1.96,0,62.83,1.96,50.06,92.28,37.3,9.82
 84-94,0,2.12,0,238.96,9.56,9.56,265.51,4.25,72.22,64.78,145.5,88.15,0,6.37,19.12,16.99,9.56,14.87,10.62,8.5,870.87,16.99,39.3,105.14,206.04,48.85,4.25,47.79,0,8.5,238.96,0,0,76.47,0,0,39.3,5.31,43.54,66.91,35.05,7.43
 96-106,0,7.65,3.28,217.48,10.93,5.46,210.92,6.56,50.27,54.64,115.84,85.24,0,22.95,38.25,12.02,10.93,12.02,9.84,3.28,550.79,18.58,21.86,67.76,217.48,38.25,13.11,37.16,0,8.74,142.07,2.19,0,66.66,2.19,0,17.49,6.56,27.32,77.59,39.34,2.19
108-118,0,3.06,2.3,159.32,6.13,12.26,127.92,5.36,53.62,29.87,94.21,84.26,0,6.13,19.92,11.49,13.02,11.49,19.92,8.43,339.32,6.13,19.15,62.04,238.98,22.98,3.83,28.34,0,9.96,99.58,1.53,0,42.89,1.53,0,9.19,8.43,14.55,55.15,8.43,5.36
120,0,3.92,1.96,123.47,9.8,1.96,113.67,15.68,33.32,25.48,64.67,76.43,0,5.88,31.36,5.88,3.92,5.88,7.84,3.92,239.09,5.88,9.8,50.95,211.66,33.32,3.92,19.6,1.96,5.88,113.67,0,0,35.28,1.96,0,9.8,1.96,11.76,45.08,19.6,0
