stage,epidermis,erythrocytes,eye,immune,mesenchyme,mural.cell,neural,periderm,spinal.cord,vascular.smooth.muscle,vasculature
  7-9,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0
 24-34,0,0,0.82,40.22,1.64,0,7.39,0.82,0,0,0
 36-46,0.81,1.61,0,61.23,0.81,0,3.22,0,0,0,0.81
 48-58,0,0,1.15,51.07,2.3,0,4.59,0,0.57,0,0
 60-70,0,0,2.94,66.74,0.98,0.98,2.94,0,0,0,0
 72-82,0.98,0,0,69.7,2.94,0,3.93,0,0,0.98,0
 84-94,0,0,1.06,69.03,0,0,1.06,0,0,0,0
 96-106,0,0,1.09,46.99,2.19,0,2.19,0,0,0,0
108-118,0.77,0.77,0.77,32.17,0.77,0,0.77,0,0,0,0
120,0,0,0,143.06,0,0,1.96,0,0,0,0
