stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,vasculature,xanthophores
  3-4,0,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0
  5-6,12.26,251.32,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0
  7-9,5.26,2.63,5.26,0,0,13.14,0,0,0,2.63,0,0,0,0,0,52.57,0,0,0,21.03,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,9.44,0,0,0,6.29,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.57,0,0,0,1.15,0,0,2.3,0,0.57,0,0,0,0,0.57
 60-70,0,0,0,0,0,1.96,0,0,0,0,0,0.98,0,0,0,1.96,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,0,0.98,0,0,0,0,0,0,2.94,0,0.98,1.96,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,1.06,0,2.12,0,0,0,0,0,0,0,1.06,1.06,0,0,0,1.06,0,0
 96-106,0,0,0,0,0,2.19,0,0,2.19,0,0,0,2.19,0,0,1.09,0,0,0,0,1.09,1.09,0
108-118,0,0,0,0.77,0,0,0.77,0,0,0,0,0,1.53,0.77,0,0.77,0,0,0.77,0,0,0.77,0
120,0,0,0,0,0,0,0,1.96,0,0,3.92,0,0,0,0,3.92,0,0,0,0,5.88,1.96,0
