stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,glial,heart,iridophores,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,xanthophores
  3-4,0,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,110.33,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,2.63,5.26,0,2.63,0,0,0,0,0,0,21.03,0,2.63,0,0,0,0
 10-12,0,0,0,0,6.29,0,0,0,0,0,0,15.73,0,18.88,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0.82,0,0,1.64,0,4.93,0,0,0,0,0.82,0
 36-46,0,0,0,0.81,0,0,0,0,0,0.81,0,4.03,0.81,0,0,0,0.81,0
 48-58,0,0,0,0,1.72,0,0.57,0,0,0.57,0.57,2.87,0,0,0,0,0.57,0
 60-70,0,0,0,0,2.94,0.98,0,0,0,2.94,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,1.96,0.98,1.96,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,1.06,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,1.09,0,0,0,4.37,0,0,0,0,0,1.09
108-118,0,0,0,0,0.77,0,0.77,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
