stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,0,23.66,0,0,0,2.63,0,0,0,0,0,31.54,0,0,0,0,0,0,0,0,0,0,26.29,2.63,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,0,7.39,0,0,22.16,0,0,0,8.21,0,0,0,0.82,0,0,1.64,1.64,3.28,0,0,4.93,1808.35,1.64,2.46,0.82,0,4.1,0.82,0.82,0.82,219.17,0,2.46,0.82
 36-46,0,0,0,0,22.56,0.81,0,212.7,4.83,3.22,3.22,221.56,0.81,0,0.81,4.03,0.81,0,0.81,4.83,68.48,1.61,0,16.92,6537.2,6.45,7.25,4.03,0,20.14,2.42,3.22,0.81,1729.77,0.81,8.86,5.64
 48-58,0,0,0,0,9.18,1.15,0,302.97,2.3,3.44,1.72,250.18,0,0,1.15,4.02,1.15,0.57,2.87,0,43.61,0.57,1.15,9.75,2032.42,1.72,1.72,1.72,0,8.03,1.15,0,0,1643.38,0,5.74,4.02
 60-70,0,0,0,0,2.94,0,0,116.8,0,0.98,0,61.84,0,0,0,0,0,0,0,0,8.83,0,0.98,0.98,255.2,0.98,0,0.98,0,2.94,0,0,0,256.18,0,0,2.94
 72-82,0,0,0,0,0,0,0,24.54,0.98,0,0,40.25,0,0,0,0,0,0,0,0,0,0,0,0,44.17,0,0,0,0,0.98,0,0,0,30.43,0,0,0
 84-94,0,0,0,0,1.06,0,0,21.24,0,0,0,15.93,1.06,0,0,0,0,0,0,0,4.25,0,0,0,26.55,1.06,0,1.06,0,1.06,1.06,0,0,27.61,0,0,0
 96-106,0,0,1.09,0,1.09,0,0,3.28,1.09,0,0,12.02,0,0,0,0,0,0,0,0,0,0,0,0,14.21,0,0,1.09,0,0,0,0,0,3.28,0,0,1.09
108-118,0,0,0,0,0,0,0.77,2.3,0,0,0,13.02,0,0,0,0,0,0,0,0,0,0,0,0,16.85,0,0,0,0,0,0,0.77,0,0,0,0,0
120,0,0,0,0,0,0,0,3.92,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,13.72,0,0,0,0,0,0,0,0,3.92,0,0,0
