stage,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,gut,immune,mesenchyme,mucous,muscle,neural,periderm,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,1,3,0,3,0
 24-34,0,0,0.82,0,0,0.82,0,0,0,0.82,6.57,0,2.46,0
 36-46,0,0,0,0,0.81,0,1.61,0,0,0,1.61,0,0,0
 48-58,0,0,0,0,0,0,0,1.15,0,0,3.44,0,0.57,0.57
 60-70,0,0,0,0,0,0,0,0.98,0,0,2.94,0,0.98,0.98
 72-82,0,0,0,0,0,0,0.98,4.91,0.98,0.98,0.98,0,0,0
 84-94,0,0,0,1.06,0,0,2.12,1.06,0,0,0,0,1.06,0
 96-106,1.09,1.09,0,0,0,0,4.37,2.19,0,1.09,0,1.09,0,0
108-118,0,0,0.77,0,0,0,6.13,0.77,0,0,2.3,0,0.77,0
120,0,0,0,0,0,0,0,1.96,0,0,0,1.96,0,0
