stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,147.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,24.52,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,26.29,0,0,0,49.95,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,299.67,7.89,0,0,152.47,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,40.91,0,0,0,69.23,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,371.34,6.29,0,0,157.35,0,0,3.15,0,31.47,0,0,0,0,0,0,0,0
 14-21,0,0,13,105,51,0,58,0,0,0,8,4,1,0,0,3,0,2,0,0,74,0,0,53,412,2,0,19,13,0,35,0,57,1,0,61,114,0,0,6,0,1
 24-34,0,0,2.46,22.16,9.03,0,88.65,0,0,0,8.21,5.75,0,0,0,1.64,1.64,1.64,0.82,0,59.92,0.82,0,18.06,340.66,0.82,2.46,6.57,0.82,0,13.13,0,0,1.64,0,7.39,79.62,0,0,18.88,0,0
 36-46,0,0,0,7.25,0,0,52.37,0,0,2.42,6.45,0.81,0,0.81,0,0,0.81,4.03,0,0,43.51,0.81,1.61,12.89,183.69,0.81,0.81,1.61,0,0,8.06,0,0,0,0.81,0,38.67,0,0,5.64,0,0
 48-58,0,0,0,6.89,0.57,0,84.92,0,0.57,0.57,10.33,2.3,0,0.57,1.15,0.57,1.15,2.87,0.57,0,26.97,1.72,1.15,6.31,115.91,0,1.15,1.72,0,0,6.89,0,0,0,0,0,16.64,0,0,5.16,0,0.57
 60-70,0,0,0,7.85,0.98,0,106.99,1.96,1.96,0.98,9.82,3.93,0,0.98,1.96,0,0,4.91,0.98,0,16.69,0.98,1.96,1.96,142.32,0,0,0,0,0,4.91,0,0,0.98,0,0,24.54,0.98,0.98,9.82,0,0
 72-82,0,0,0,11.78,2.94,0,76.57,0,2.94,2.94,12.76,10.8,0,0,10.8,0,0,5.89,0.98,0,18.65,0.98,1.96,9.82,144.3,0,0.98,2.94,0,0.98,11.78,0,0,0,0.98,0,17.67,2.94,1.96,16.69,0,0
 84-94,0,0,0,7.43,4.25,0,62.66,1.06,0,2.12,15.93,9.56,0,2.12,12.74,2.12,1.06,2.12,0,1.06,18.05,0,2.12,8.5,82.84,1.06,1.06,2.12,0,0,19.12,0,0,1.06,0,0,8.5,2.12,0,14.87,0,0
 96-106,0,0,0,18.58,7.65,2.19,49.18,1.09,1.09,4.37,20.76,6.56,0,4.37,18.58,4.37,1.09,4.37,2.19,0,21.86,2.19,1.09,8.74,85.24,0,2.19,3.28,0,0,45.9,0,0,0,0,0,4.37,4.37,1.09,8.74,1.09,2.19
108-118,0,0,1.53,29.11,3.83,3.06,46.72,0.77,0.77,0.77,21.45,18.38,0,0.77,26.81,0.77,2.3,8.43,2.3,0,25.28,1.53,1.53,13.02,122.55,0.77,0.77,4.6,0,0,39.06,0,0,2.3,0,0,8.43,13.79,0,9.96,1.53,0.77
120,0,0,3.92,37.24,5.88,1.96,56.83,1.96,3.92,0,13.72,11.76,0,3.92,21.56,0,0,5.88,0,0,25.48,0,0,21.56,170.5,1.96,1.96,5.88,0,0,19.6,0,0,0,0,0,3.92,7.84,0,9.8,1.96,0
