stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,6.29,0,0,6.29,3.15,3.15,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,3,14,0,0,0,5,0,2,3,0,0,0,0
 24-34,0,0.82,0,7.39,0,0.82,0.82,0,0,0,0.82,0,0,0.82,0,6.57,0,0,0,0,1.64,13.95,2.46,0.82,0.82,0,10.67,0,6.57,2.46,0,0.82,0,0
 36-46,0,0.81,0,2.42,0,2.42,0.81,0,0,0,0.81,0.81,0,0,0,3.22,0,0.81,0,0,0,29.81,0,0,1.61,0,12.09,0,4.83,13.7,0,0,0,0
 48-58,0,0,0,4.59,0,12.05,1.15,0,0.57,0,0,0,0,0,0,1.72,0,5.16,0,0,0.57,65.99,0,0,0,0,13.2,0,5.16,15.49,0,0,0,1.15
 60-70,0,1.96,0,3.93,0.98,108.95,0.98,0,5.89,2.94,0,2.94,0.98,0,0,1.96,0,7.85,0,0,0.98,159.01,0,0,0,0,28.46,0,2.94,19.63,0,2.94,0,0
 72-82,0,1.96,0,1.96,0,200.26,2.94,1.96,15.71,1.96,0,3.93,0.98,0,0,0,0,19.63,0.98,0,0.98,181.61,0,0.98,1.96,0,29.45,0,3.93,7.85,0,6.87,0,0
 84-94,0,1.06,0,5.31,0,115.76,1.06,0,18.05,3.19,0,13.81,3.19,0,0,4.25,0,21.24,2.12,1.06,3.19,124.26,0,0,1.06,0,67.97,0,2.12,8.5,0,5.31,0,0
 96-106,0,4.37,1.09,9.84,3.28,114.75,1.09,0,14.21,4.37,2.19,24.04,2.19,0,0,2.19,0,13.11,1.09,0,1.09,114.75,1.09,0,6.56,0,89.61,0,15.3,12.02,0,4.37,0,1.09
108-118,0,0.77,0.77,9.19,0,78.13,0.77,0,11.49,0.77,0,18.38,6.89,0.77,1.53,1.53,0.77,10.72,0,0,0,129.45,1.53,0.77,3.06,0,51.32,0,6.13,0,0.77,0,0.77,0
120,0,3.92,0,9.8,0,50.95,0,0,7.84,1.96,0,23.52,1.96,0,1.96,7.84,0,13.72,1.96,0,0,123.47,0,0,3.92,0,56.83,1.96,7.84,5.88,0,7.84,0,0
