stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,18,2,5,0,0,0,12,2,0,0,0,0,0,0,0,15,0,0,10,83,7,0,0,2,0,0,9,0,7,46,0,0,0,0,0
 24-34,0,0,2.46,19.7,0,18.88,0,5.75,0.82,11.49,0,3.28,0,0,0,0.82,0.82,0,45.15,0,0,12.31,187.98,0,0.82,2.46,0,0,4.1,0,0,0.82,73.88,0,0,3.28,0,0
 36-46,0,0,0,12.89,0,16.11,0,2.42,0.81,16.11,0,0,0,0,2.42,0.81,0,0.81,34.64,0,0,9.67,233.64,0.81,2.42,1.61,0,0.81,0.81,0,0.81,0,82.98,0,0,8.86,0,0
 48-58,0,0,0,8.61,0,20.66,0,2.3,0.57,40.74,0,1.72,0.57,0,3.44,1.15,0.57,1.72,40.17,0,3.44,6.31,228.95,0,2.3,1.72,0,0.57,1.15,0,0,0,57.38,0,0,6.31,0,3.44
 60-70,0,0.98,0,5.89,0,48.09,0,0,0,54.97,0,1.96,0,0,9.82,0.98,0.98,0,40.24,0,0.98,1.96,383.78,0.98,4.91,1.96,0,0,0,0,0,0,43.19,0,1.96,1.96,0,0.98
 72-82,0,0,0,4.91,2.94,97.18,1.96,0.98,3.93,47.12,2.94,0.98,1.96,0,4.91,0.98,0.98,1.96,61.84,0,2.94,3.93,400.52,0,5.89,3.93,0,0.98,0,0,0,0,21.6,1.96,0.98,6.87,2.94,0.98
 84-94,0,0,1.06,8.5,0,79.65,0,2.12,0,32.92,1.06,1.06,0,0,13.81,2.12,0,3.19,36.11,0,7.43,6.37,233.65,1.06,2.12,6.37,0,0,3.19,0,1.06,0,9.56,0,0,5.31,1.06,0
 96-106,0,0,0,8.74,3.28,68.85,0,0,0,31.69,0,0,1.09,1.09,19.67,2.19,1.09,2.19,28.41,0,1.09,2.19,198.9,0,5.46,7.65,0,0,0,0,1.09,0,10.93,0,1.09,5.46,0,4.37
108-118,0,0,0,6.89,0,45.96,1.53,6.89,0.77,19.92,0.77,1.53,0.77,0,13.79,0,0,4.6,17.62,0.77,4.6,3.83,219.83,0,5.36,8.43,0,0,0.77,0,0.77,0,5.36,0,0.77,3.06,0.77,0.77
120,0,0,0,11.76,1.96,62.71,0,1.96,1.96,39.2,0,0,0,0,5.88,0,0,0,29.4,0,1.96,5.88,268.49,0,1.96,9.8,0,0,0,0,0,0,15.68,0,0,1.96,0,1.96
