stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,856.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,245.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,36.8,7.89,0,34.17,0,0,0,15.77,0,0,0,0,0,34.17,0,0,0,0,0,0,0,0,0,0,107.78,10.51,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,18.88,0,28.32,0,0,0,116.44,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,377.64,28.32,0,0,50.35,0,0,18.88,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,3,51,5,0,6,0,0,0,3,0,1,2,0,4,0,0,0,20,0,0,13,188,2,0,2,1,0,1,2,2,10,0,3,65,0,0,0,0,0
 24-34,0,0,0,1.64,42.68,1.64,0,27.91,0,0.82,0.82,13.13,0,0,0.82,0.82,5.75,0,1.64,0,76.34,0.82,0,24.63,375.13,4.1,0.82,18.06,0,0,1.64,0.82,0,43.51,0,0,124.77,0,0,3.28,0,0
 36-46,0,0,1.61,0,13.7,1.61,0,21.75,0.81,0.81,5.64,14.5,0.81,0,1.61,0,3.22,0.81,0.81,0,86.21,0.81,0.81,32.23,549.47,4.03,0.81,16.92,0,0.81,1.61,0,0,19.34,0,0.81,167.58,0,0,2.42,0,0
 48-58,0,0.57,1.15,0,11.48,0.57,0,81.48,1.72,0.57,6.31,51.07,2.87,0.57,1.15,0,2.87,0.57,2.87,1.15,71.15,1.15,1.72,31.56,1007.03,1.72,1.15,15.49,0,0.57,3.44,0,0.57,16.07,1.15,0,173.86,0,0.57,4.02,0,0.57
 60-70,0,0,0.98,0,20.61,0,0,94.23,3.93,0.98,10.8,95.21,11.78,0,2.94,0,5.89,0.98,2.94,0.98,116.8,1.96,5.89,27.48,1213.16,0.98,0,10.8,0,1.96,2.94,0,0,19.63,0,0,232.62,1.96,4.91,5.89,3.93,1.96
 72-82,0,0,3.93,0,24.54,3.93,0,98.17,1.96,0.98,12.76,75.59,17.67,0,0.98,1.96,14.72,2.94,0,0.98,123.69,1.96,6.87,39.27,784.35,0,0,23.56,0,0,4.91,0,0,28.47,0,0,114.85,1.96,3.93,8.83,9.82,3.93
 84-94,0,0,2.12,0,20.18,0,1.06,105.14,1.06,3.19,8.5,39.3,15.93,0,0,5.31,16.99,2.12,1.06,1.06,72.22,0,9.56,16.99,422.69,0,1.06,42.48,0,1.06,9.56,1.06,0,62.66,0,0,63.72,2.12,5.31,4.25,9.56,0
 96-106,0,0,1.09,0,16.39,3.28,0,43.71,5.46,1.09,2.19,33.88,14.21,0,3.28,1.09,20.76,1.09,0,0,84.15,2.19,5.46,12.02,255.73,1.09,0,48.09,0,2.19,10.93,0,0,50.27,3.28,0,28.41,1.09,0,8.74,13.11,1.09
108-118,0,0,0.77,1.53,13.79,0,0.77,30.64,1.53,0,7.66,30.64,6.13,0,3.06,1.53,25.28,2.3,3.06,0,62.04,2.3,4.6,14.55,298.73,2.3,0.77,49.02,0,2.3,3.83,0,0,58.21,0,0,18.38,5.36,0,2.3,7.66,0
120,0,0,1.96,0,21.56,1.96,0,50.95,1.96,3.92,3.92,19.6,13.72,0,1.96,0,13.72,1.96,0,0,62.71,0,5.88,11.76,254.77,0,0,47.03,0,3.92,1.96,0,0,39.2,0,0,23.52,3.92,0,3.92,5.88,0
