stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,heart,ionocyte,lateral.line,mesenchyme,mucous,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste
  3-4,26.36,724.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0
  5-6,12.26,349.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,9.44,0,0,3.15,9.44,3.15,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0.82,0,8.21,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0.81,0,0,0,7.25,0,0
 48-58,0,0,0,1.15,0,0,0,0,0,0,0,0,0,1.15,0,0,0,4.59,0,0
 60-70,0,0,0,2.94,0,0,0.98,0,0,0,0,0,0,2.94,0,0,0,8.83,0,0
 72-82,0,0,0.98,1.96,0,0,0,0,0,0,1.96,0.98,0,0,0,0,0,15.71,0,0
 84-94,0,0,0,2.12,0,1.06,0,0,0,0,0,0,0,2.12,0,1.06,0,62.66,0,0
 96-106,0,0,0,3.28,1.09,1.09,1.09,0,1.09,0,1.09,0,1.09,1.09,0,0,0,37.16,0,1.09
108-118,0,0,0,6.13,0,1.53,0,0.77,0,1.53,0.77,0,0.77,1.53,0,0,0,24.51,0,0.77
120,0,0,0,1.96,0,5.88,0,0,0,0,0,0,1.96,0,1.96,0,0,54.87,0,0
