stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,26.36,1238.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0
  5-6,67.43,876.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,18.39,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,7.89,0,0,0,26.29,0,0,0,5.26,0,0,0,0,0,0,0,231.33,10.51,0,0,57.83,0,2.63,0,0,0,0,0,0,0
 10-12,0,9.44,3.15,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,94.41,3.15,0,0,47.2,0,0,0,9.44,0,0,0,0,0
 14-21,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,3,1,24,1,0,1,2,0,0,1,1,1,3,6,0,0
 24-34,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,1.64,2.46,34.48,0,0,0,0,3.28,0,0,0,0,0.82,7.39,0.82,0
 36-46,0,0,0,0,0,0,5.64,0,0.81,0,0,0,0,0,0,0.81,4.03,0,37.87,0,1.61,0,0,0.81,0,0,0,0,0,6.45,0,0
 48-58,0,0,0,0.57,0,0,17.21,0,1.72,0.57,0,1.15,0,0,0,0,4.59,0,30.99,0,0.57,0,0,0,0,0,0,0,0,5.16,0.57,0
 60-70,0,0,0,0,0.98,0,18.65,0,0.98,0,0,0,0.98,0,0,0,1.96,0,28.46,0,0,0,0,1.96,0,0,0,0,0,2.94,0,0.98
 72-82,0,0,0,0,0,0,10.8,0,2.94,0,0,0,0.98,0,0,0,9.82,0.98,19.63,0,0,0,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,1.06,1.06,0,10.62,1.06,3.19,0,0,0,0,0,1.06,0,10.62,0,12.74,0,0,0,0,1.06,0,0,0,0,0,3.19,0,0
 96-106,0,0,0,1.09,1.09,0,2.19,0,1.09,0,0,1.09,0,1.09,0,0,3.28,0,10.93,0,1.09,2.19,0,5.46,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0,0.77,0.77,7.66,0,1.53,0,0,0,1.53,0,0,0,3.06,0,13.79,0,0,0,0,1.53,0,0,0,0,0,0,0,0
120,0,0,0,1.96,5.88,0,3.92,3.92,0,0,0,0,0,0,0,0,0,1.96,5.88,0,0,0,0,1.96,0,0,0,0,0,0,0,0
