stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,0,0,0,10.51,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.09,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,8,2,0,7,0,1,0,2,1,0,0,0,0,0,0,0,3,0,2,49,0,0,0,2,0,0,0,2,0,2,9,23,0,0,1,0,0
 24-34,0,0,0.82,0,8.21,0,0,12.31,0,0.82,0,3.28,0,1.64,0,2.46,0,0,0.82,0,11.49,0,3.28,131.34,2.46,1.64,0.82,0,0,1.64,0,0,2.46,0.82,1.64,45.15,0,0,3.28,0,0
 36-46,0,0,0,0,2.42,0,0,23.36,0.81,0,0,2.42,0,0.81,0,0,0,0,0,2.42,14.5,0.81,8.86,121.66,0.81,0,0,0,0,4.03,0,0,0.81,0,0,41.09,0,0,4.03,0,0.81
 48-58,0,0,0,0,1.15,0,0,21.8,1.15,0.57,0.57,13.77,0,2.3,0.57,0,0,0,0,1.15,9.75,0.57,5.16,76.32,0,1.72,0.57,0,0,1.72,0,0,0,2.3,0,26.4,0,0.57,1.15,0,1.72
 60-70,0,0,0,0,0.98,0,0,91.28,0.98,0.98,0.98,32.39,0,0.98,1.96,0.98,0.98,0,0,0,32.39,1.96,1.96,93.24,1.96,0.98,0.98,0,0,4.91,0,0,1.96,0.98,0,23.56,0,0.98,0,0,0
 72-82,0,0,0.98,0,0.98,4.91,0,87.37,0.98,0.98,3.93,78.53,0,0,0.98,0,0,0.98,0,2.94,42.21,2.94,2.94,130.56,0,1.96,4.91,0,0,1.96,0,0,0.98,1.96,0,15.71,0,0.98,9.82,0,2.94
 84-94,0,0,1.06,0,7.43,0,0,57.35,2.12,1.06,1.06,45.67,3.19,0,0,2.12,2.12,1.06,1.06,0,30.8,1.06,2.12,70.09,1.06,0,3.19,0,1.06,7.43,0,0,2.12,1.06,0,6.37,1.06,0,2.12,4.25,2.12
 96-106,0,0,1.09,0,5.46,2.19,0,83.06,4.37,0,3.28,66.66,1.09,1.09,1.09,2.19,1.09,0,0,0,41.53,6.56,6.56,84.15,0,1.09,2.19,0,0,6.56,0,0,4.37,2.19,0,9.84,0,4.37,7.65,2.19,2.19
108-118,0,0,0,0,8.43,0.77,0,60.51,1.53,0.77,4.6,44.43,0.77,0,3.06,1.53,0.77,0,0,0.77,27.57,3.83,5.36,65.11,1.53,0.77,3.83,0,0.77,3.83,0,0,7.66,1.53,0,5.36,0.77,1.53,3.83,3.06,1.53
120,0,0,0,0,5.88,0,1.96,45.08,1.96,0,0,50.95,0,0,3.92,3.92,0,1.96,0,0,31.36,5.88,1.96,105.83,0,3.92,0,0,0,7.84,0,0,3.92,1.96,0,9.8,0,1.96,3.92,1.96,1.96
