stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,immune,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,12.31,0,0,0,15.6,0,0,0,0
 36-46,0,0,0,1.61,0,0.81,0,0,0.81,0.81,16.92,0,0,0,20.14,0,0,0,0
 48-58,0,0,0,0.57,0,0,0,0,0,0,36.15,0,0,0,17.21,0,0,0,0
 60-70,0,0,0,0.98,0,0,0,0,0.98,0,64.78,0,0,0.98,18.65,0,0,0,0
 72-82,0,0.98,0,17.67,0,1.96,0,0,0.98,0,198.3,0,0,0,33.38,0,0,0,0.98
 84-94,0,1.06,1.06,9.56,0,5.31,1.06,0,1.06,0,131.69,0,0,1.06,11.68,0,0,0,1.06
 96-106,1.09,3.28,1.09,30.6,0,15.3,0,0,3.28,0,195.62,1.09,1.09,0,13.11,1.09,1.09,0,1.09
108-118,0,3.06,0,28.34,0.77,22.21,0,0,3.06,0.77,265.02,0,0.77,0,16.85,0,0,0.77,0
120,0,9.8,0,21.56,1.96,27.44,0,1.96,0,3.92,278.29,0,0,1.96,25.48,0,1.96,0,0
