stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,421.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,202.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,10.51,0,15.77,0,0,23.66,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,233.96,15.77,0,0,78.86,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,25.18,0,0,56.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431.13,18.88,0,0,151.05,0,3.15,3.15,0,22.03,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,3,30,10,9,0,0,0,5,3,0,2,0,0,0,0,0,0,10,0,0,17,178,2,2,3,4,0,0,2,18,6,2,13,90,0,0,2,0,0
 24-34,0,0,0,2.46,10.67,3.28,50.07,0,0.82,1.64,20.52,2.46,0,0.82,0.82,2.46,0,3.28,1.64,0,52.53,0.82,0,25.45,691.98,3.28,11.49,4.93,0,0.82,18.06,0,0,1.64,0,6.57,160.89,0,0,13.13,0,0
 36-46,0,0,0,0,7.25,0,168.38,0,1.61,3.22,26.59,0,0,0.81,0,0,0,2.42,0,0,84.6,0.81,4.83,20.14,1263.29,2.42,14.5,7.25,0,0,6.45,0,0,2.42,0.81,0,269.09,0,0,10.47,0.81,0
 48-58,0,0,0,0,7.46,0.57,309.28,0.57,0.57,5.74,61.4,0.57,0,1.72,0.57,1.15,0.57,0.57,0,2.87,115.91,0,2.3,16.64,1150.48,0.57,8.61,2.87,0,0.57,7.46,0,0,1.72,0.57,0,234.69,0,0,10.9,0,3.44
 60-70,0,0,0,0,4.91,0,432.85,0,1.96,2.94,75.58,2.94,0,0.98,0,0,0.98,2.94,0,1.96,157.04,0.98,0.98,10.8,1096.36,0,10.8,5.89,0,0,4.91,0,0,0.98,0,0,191.4,0,1.96,6.87,0.98,0.98
 72-82,0,0,0.98,0,11.78,1.96,270.94,0,0,3.93,65.77,4.91,0,1.96,2.94,0,1.96,1.96,0,0,178.66,0,4.91,20.61,712.69,0.98,6.87,11.78,0,1.96,5.89,0,0,2.94,0,0,74.61,0.98,8.83,17.67,6.87,0
 84-94,0,0,2.12,0,11.68,0,204.97,0,7.43,3.19,47.79,2.12,0,2.12,1.06,1.06,0,2.12,1.06,1.06,80.71,0,6.37,3.19,288.87,0,11.68,11.68,0,1.06,24.43,0,0,5.31,1.06,0,48.85,1.06,2.12,7.43,4.25,1.06
 96-106,0,0,1.09,0,25.14,7.65,160.65,0,2.19,1.09,50.27,7.65,0,1.09,3.28,3.28,1.09,6.56,0,0,86.33,1.09,3.28,6.56,253.54,4.37,12.02,10.93,0,0,12.02,0,0,2.19,0,0,17.49,0,2.19,12.02,3.28,1.09
108-118,0,0,0,0,15.32,3.83,91.92,0.77,3.06,1.53,30.64,3.83,0,0,4.6,0.77,3.06,5.36,1.53,0.77,53.62,1.53,0.77,6.13,286.47,1.53,5.36,17.62,0,2.3,5.36,0,0,1.53,0,0,9.19,0.77,2.3,6.13,3.83,2.3
120,0,0,0,0,25.48,7.84,72.51,0,7.84,1.96,21.56,3.92,0,0,3.92,1.96,0,1.96,1.96,0,48.99,0,0,5.88,305.73,0,1.96,9.8,0,0,3.92,0,0,7.84,0,0,15.68,0,0,5.88,3.92,1.96
