stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,42.06,2.63,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,3.15,0,0,28.32,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,3,0,4,0,0,0,3,1,1,1,0,0,1,0,0,0,6,0,0,3,32,0,0,1,0,0,3,0,0,6,13,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,16.42,0.82,0,0,0.82,0,0,0,0,0,10.67,0,0,0,4.93,0,0,0,53.36,0,0,0,0,0.82,0,0,0,1.64,9.85,0,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,0,13.7,0,0,0.81,4.03,0,0,0,0,0,29,0,0,0.81,5.64,0,1.61,1.61,36.26,0.81,1.61,0,0,0,0,0,0,0,12.09,0,0,0.81,0,0
 48-58,0,0,0,0,1.15,0.57,0,28.12,0,0,0,5.16,0,0,0,0,0,52.79,0,0.57,1.15,9.18,0.57,0,1.72,60.25,1.15,0,0,0,0.57,0,0,0,0,12.62,0,0.57,0.57,0,0
 60-70,0,0,0,0,1.96,0,0,42.21,0,0.98,0,3.93,0,0,0.98,1.96,0,109.93,0,0,0,15.7,0,0.98,0.98,66.74,0,0,0,0,1.96,0,0,0,0,8.83,0,0,0.98,0,1.96
 72-82,0,0,0,0,1.96,0.98,0,39.27,0.98,0.98,0,6.87,2.94,0,0,2.94,0,129.58,0,0.98,1.96,16.69,0,0.98,1.96,58.9,0,0,1.96,0,3.93,0,0,0.98,0,5.89,0,0,2.94,0.98,5.89
 84-94,0,0,1.06,0,3.19,5.31,0,22.3,0,0,1.06,4.25,1.06,0,0,1.06,0,170.99,1.06,0,0,14.87,0,0,3.19,40.36,0,0,0,0,8.5,0,0,0,0,3.19,1.06,1.06,0,0,3.19
 96-106,0,0,1.09,1.09,4.37,7.65,0,37.16,1.09,1.09,3.28,9.84,5.46,0,0,2.19,1.09,155.18,0,1.09,1.09,15.3,2.19,1.09,5.46,54.64,1.09,1.09,1.09,0,12.02,0,2.19,1.09,0,1.09,0,1.09,2.19,0,2.19
108-118,0,0,0,0.77,5.36,0.77,0.77,17.62,0,0.77,1.53,6.89,3.06,0,0,0.77,0.77,213.7,0,2.3,0,16.09,0,0.77,3.06,36,0.77,0,2.3,0,7.66,0,0,0.77,0,0.77,0,0.77,2.3,0,2.3
120,0,0,0,0,1.96,1.96,1.96,11.76,0,0,3.92,3.92,3.92,0,0,0,0,135.23,0,0,0,11.76,0,0,0,7.84,1.96,0,0,0,1.96,0,1.96,0,0,3.92,0,1.96,0,0,1.96
