stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,1,0,0,0,0,1,0,0,0,2,0,0,8,0,0,0,0,1,1,13,0,0,0
 24-34,0,0.82,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0.82,67.31,0,0.82,0.82,0,0,0,12.31,0,0,0.82
 36-46,0,0,0,0,10.47,0,2.42,0,0,0,0,0,3.22,0.81,0.81,221.56,0,4.03,0.81,0,0,0,44.31,0,0,0.81
 48-58,0,0,1.15,0,37.3,0,1.72,0,0,0,0,0,6.31,0,1.15,247.88,0,0.57,0,0,0,0,32.71,0,0,0.57
 60-70,0,0,0,0,122.69,0,4.91,0,0,0.98,0,0.98,3.93,0,0,359.24,0,1.96,0,0,0,0,44.17,0,0,0
 72-82,0,0,1.96,0,81.48,0,4.91,0.98,0,0,0,0.98,4.91,0,0,234.62,0.98,1.96,0,0,0,0,26.5,0.98,0.98,1.96
 84-94,0,1.06,1.06,1.06,89.21,0,7.43,1.06,0,2.12,0,0,3.19,1.06,1.06,139.13,0,1.06,0,2.12,0,0,14.87,1.06,0,0
 96-106,0,1.09,1.09,0,56.83,1.09,3.28,0,0,0,0,1.09,1.09,0,0,112.56,0,2.19,1.09,0,0,0,5.46,1.09,1.09,2.19
108-118,0,0,1.53,0.77,32.17,0,0,0,0,0,0.77,0,1.53,0,0,123.32,0,1.53,0,0,0,0,6.13,0,0,0
120,0,0,0,0,25.48,0,1.96,1.96,0,0,0,0,1.96,0,0,88.19,1.96,0,0,0,0,0,5.88,0,0,1.96
