stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,2.46,0,0,0.82,3.28,127.23,0.82,0,0,0,0,0,2.46,0,0,0.82,0,0
 36-46,0,0,0,1.61,0.81,0,0,0,0,0,0.81,0,0,0,0.81,0,0.81,6.45,0,0,9.67,12.89,219.95,0,0,0,0.81,0,0,4.03,0,0,0,0,0
 48-58,0.57,0,0,0,0,0,10.33,0,0,0.57,1.15,0,0,0,0,0,0,12.05,0.57,0.57,1.15,22.38,184.19,0,0,0,0,0.57,0.57,5.16,0,0,2.3,0,0.57
 60-70,0.98,0,0,0.98,0,0,4.91,0,0,0,0.98,0,0,0,0,0,0,21.59,0.98,0,0.98,8.83,127.6,0,0,0,0,0,0,1.96,0,0.98,0.98,0,0
 72-82,0,0,0,0.98,0,0,2.94,0.98,0,0,2.94,0,0.98,0,0.98,0,0,102.09,0,0.98,4.91,14.72,103.07,0,0,0,0,0,0,1.96,0,0.98,6.87,1.96,0
 84-94,1.06,0,1.06,0,0,1.06,8.5,0,1.06,0,1.06,0,0,1.06,0,0,0,89.21,0,2.12,2.12,4.25,163.55,0,0,0,2.12,0,0,1.06,0,1.06,5.31,0,1.06
 96-106,0,0,1.09,1.09,0,0,8.74,1.09,0,0,1.09,0,0,1.09,0,0,1.09,113.66,1.09,4.37,3.28,14.21,132.23,0,0,0,3.28,0,0,1.09,1.09,4.37,10.93,2.19,0
108-118,1.53,0,0.77,2.3,0.77,0.77,2.3,0,0,0,2.3,0.77,0,0,0,0.77,1.53,105.7,0,1.53,0.77,16.85,143.24,0,0,0.77,1.53,0.77,0,0.77,0,6.13,9.19,1.53,0
120,3.92,0,0,5.88,0,1.96,0,0,1.96,0,1.96,1.96,0,0,0,0,0,117.59,0,1.96,0,3.92,217.54,0,1.96,0,3.92,0,0,0,0,5.88,13.72,3.92,0
