stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,iridophores,liver,mesenchyme,neural,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,taste,vasculature
  3-4,13.18,355.8,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0
  5-6,18.39,177.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,15.77,7.89,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,3.15,3.15,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,2.42,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,2.87,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,3.93,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0.98,7.85,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,5.31,1.06,2.12,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,1.09,1.09,0,8.74,0,1.09,0,1.09,0,0,0,0,0
108-118,0,0,1.53,0,0,0,0,16.85,0.77,1.53,0,0,0,0,0.77,0,0
120,0,0,0,1.96,0,0,0,37.24,0,1.96,0,0,0,0,0,0,0
