stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,1106.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,294.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,0,0,0,6.29,0,3.15,9.44,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,12,5,0,16,0,0,0,1,1,0,0,0,2,0,0,0,0,4,0,0,3,46,0,0,0,0,0,4,1,0,0,5,7,0,0,0,0,0
 24-34,0,0,0,2.46,0.82,0,23.8,0,0.82,0.82,0.82,0,0,0,0.82,0.82,0,0.82,0,0,0.82,0.82,0,2.46,64.85,0.82,3.28,0,0,0,12.31,0,0.82,0,1.64,12.31,0,0,0.82,0,0.82
 36-46,0,0,0,2.42,0,0,9.67,0,0,0,2.42,0.81,0,0,0,1.61,0,0,0.81,0,1.61,0.81,0,2.42,34.64,0,0.81,0.81,0,0,9.67,0,2.42,0.81,0,3.22,0,0,0.81,0,0
 48-58,0,0,0,2.87,0,0,14.92,0.57,1.15,0.57,5.16,0,0.57,0,1.15,0.57,0,0,0.57,0,4.59,0,0.57,1.72,33.85,0,0.57,0.57,0,0,4.59,0,0,1.15,0,6.31,0,0,1.15,0,0.57
 60-70,0,0,0,2.94,0,0,29.45,0,0.98,0.98,2.94,3.93,0,0,0.98,0,0,1.96,1.96,0,12.76,1.96,0.98,1.96,33.37,0,1.96,0,0,0,14.72,0,0,0,0,2.94,0,0,0,0,0
 72-82,0,0,0.98,5.89,0,0,32.39,0,0,0,6.87,1.96,0.98,0,1.96,0.98,0,0.98,1.96,0.98,15.71,2.94,0,5.89,58.9,0.98,0,0,0,0,10.8,0.98,0.98,0,0,0.98,0,1.96,0.98,1.96,0
 84-94,0,0,0,4.25,3.19,0,24.43,0,0,2.12,4.25,5.31,0,0,2.12,3.19,1.06,1.06,4.25,0,7.43,3.19,0,6.37,28.68,1.06,0,2.12,0,0,39.3,0,2.12,0,0,1.06,0,0,3.19,0,0
 96-106,0,0,1.09,7.65,2.19,0,22.95,1.09,2.19,3.28,10.93,5.46,0,1.09,7.65,1.09,0,2.19,3.28,1.09,10.93,1.09,0,4.37,32.79,0,4.37,4.37,0,1.09,37.16,0,1.09,1.09,0,1.09,2.19,1.09,6.56,0,0
108-118,0,0,0,13.79,1.53,2.3,21.45,0,3.06,2.3,13.79,1.53,0,0,1.53,3.83,0,0,7.66,1.53,19.92,2.3,0.77,6.13,35.23,0,0,3.06,0,0,37.53,0.77,0.77,0.77,0,2.3,1.53,0,1.53,0,2.3
120,0,0,0,21.56,5.88,0,5.88,0,3.92,0,11.76,5.88,0,0,0,1.96,0,0,5.88,1.96,9.8,0,0,3.92,48.99,0,0,1.96,0,0,29.4,0,0,0,0,1.96,0,1.96,0,0,0
