stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,liver,mesenchyme,mucous,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,2,0,0,0,0,0,1,0,8,1,1,2,0,0,1,1,6,0,0,0
 24-34,0,0.82,0.82,2.46,0,0,0,0,0,0,0,0.82,0,18.88,0,0,0,0,0,0,0,1.64,0.82,0,0
 36-46,0,0,0,4.03,0.81,0,0,0,0,0,0,1.61,0,12.09,0,0,0,0,0,0,0,4.83,0,0,0
 48-58,0,0,0,5.16,0,0.57,0,0,0.57,0,0,0,0,11.48,0,0,0,0,0,0,0,3.44,0,0,0
 60-70,0,0,0,4.91,0,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,2.94,5.89,0,0.98,0,0,0,0,0.98,0.98,0,12.76,0,0,0,0,0,0,0,0,0.98,0.98,0
 84-94,0,0,0,4.25,0,2.12,0,0,0,0,2.12,6.37,0,5.31,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,1.09,0,1.09,0,1.09,0,0,0,1.09,2.19,2.19,0,4.37,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.53,0,0.77,0.77,0.77,0,0,11.49,0,0.77,2.3,0,0,0,0.77,0.77,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,1.96,0,11.76,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0
