stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,2,11,3,0,8,0,0,0,2,1,1,1,0,1,0,0,0,0,6,0,0,5,109,3,1,1,2,0,0,2,8,0,0,12,42,0,0,0,0,0
 24-34,0.82,0.82,13.95,0.82,0,18.88,0,0.82,0,7.39,0.82,0.82,3.28,0,0.82,0.82,0.82,0.82,1.64,31.19,0.82,0,17.24,452.29,4.1,4.1,4.93,0,0,6.57,0,0,0,0,1.64,109.99,0,0,7.39,0,0
 36-46,0,0,4.83,0,0,87.82,0.81,0,1.61,8.86,0,0.81,0.81,0,0,0.81,0,0,0,29.81,0,0,8.86,533.35,0.81,1.61,4.83,0,0,6.45,0,0,1.61,0.81,0,119.24,0,0,4.03,0,0
 48-58,1.15,0,4.59,1.15,0,129.68,1.15,1.72,0.57,21.23,0,0.57,1.15,0.57,0,0,0.57,0.57,1.15,48.77,1.72,1.15,5.74,442.98,1.72,2.3,4.59,0,0.57,2.3,0,0,0.57,0.57,0,99.27,0,0,4.02,0,2.3
 60-70,0,0,5.89,2.94,0,205.14,0.98,2.94,0,19.63,0,1.96,3.93,3.93,0.98,0,0.98,0,0,69.69,0,0.98,6.87,520.21,0.98,3.93,1.96,0,0,9.82,0,0,0,0,0,82.45,0.98,1.96,2.94,0,2.94
 72-82,0.98,0,6.87,27.49,0,241.49,0,0.98,2.94,32.39,0,1.96,3.93,2.94,0.98,1.96,5.89,1.96,0.98,124.67,0,3.93,7.85,472.18,0,6.87,8.83,0,0,9.82,0,0,1.96,0,0,78.53,0.98,5.89,7.85,2.94,4.91
 84-94,0,0,13.81,24.43,0,163.55,0,2.12,1.06,30.8,1.06,0,2.12,5.31,4.25,3.19,2.12,0,2.12,79.65,0,4.25,9.56,267.63,2.12,6.37,12.74,0,0,35.05,0,0,1.06,1.06,0,37.17,1.06,2.12,6.37,2.12,6.37
 96-106,0,0,17.49,39.34,0,153,1.09,6.56,3.28,51.36,5.46,0,4.37,10.93,3.28,5.46,4.37,3.28,0,103.82,3.28,3.28,5.46,246.98,4.37,13.11,17.49,0,2.19,24.04,0,0,1.09,0,0,16.39,2.19,3.28,15.3,10.93,7.65
108-118,0,0,26.04,9.19,1.53,134.04,0.77,3.06,3.83,27.57,4.6,0,0,8.43,4.6,7.66,3.06,3.06,5.36,75.83,2.3,2.3,4.6,255.83,3.06,8.43,15.32,0,0.77,16.85,0,0,0.77,3.83,0,13.79,3.83,3.06,6.13,6.89,5.36
120,0,0,15.68,5.88,0,113.67,1.96,7.84,5.88,27.44,7.84,0,1.96,9.8,3.92,3.92,0,0,1.96,66.63,1.96,3.92,3.92,239.09,1.96,1.96,15.68,0,1.96,19.6,0,0,0,0,0,15.68,0,3.92,9.8,5.88,5.88
