stage,blastomeres,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,heart,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,1.64,0,0.82,0,0,0,0,0,0,0,0,0.82,0.82,0,0,0,0,0,0,0,1.64
 36-46,0,2.42,0,0.81,0,0.81,0,0,0,0,0,0,0.81,10.47,0,0,0,0,1.61,0,0,0
 48-58,0,0.57,0,2.3,0,0,0,0,0,0.57,0,0,0.57,6.31,0,0,0,0,0,0,0,0
 60-70,0,0,0,48.09,0.98,0.98,0,0,0.98,2.94,0,0,0,19.63,0,0,0,0,0,0,0.98,0.98
 72-82,0,2.94,0,131.54,1.96,11.78,0,0,0,5.89,0,2.94,0.98,39.27,1.96,0,0,0,0,0,0,0
 84-94,0,2.12,0,89.21,0,8.5,0,1.06,0,2.12,0,1.06,0,24.43,0,0,0,0,0,0,0,0
 96-106,0,1.09,1.09,112.56,1.09,18.58,1.09,0,0,12.02,0,3.28,2.19,29.51,0,0,1.09,1.09,0,1.09,0,0
108-118,0,0.77,0,124.09,0,16.09,0,0,0,7.66,0.77,0,0.77,24.51,0,0,4.6,0,0,0,0,0.77
120,0,1.96,0,96.03,0,7.84,0,0,0,1.96,0,0,1.96,39.2,0,0,0,0,0,0,0,0
