stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,104.2,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,2.63,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,7,1,0,0,1,0,0,3,0,1,3,0,0,0,0
 24-34,0,0,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0.82,0,1.64,0,3.28,9.03,0,0,0.82,0,0.82,0,0,0,1.64,4.93,0,0,0,0
 36-46,0,0,0,0,0,9.67,0,0,0,0,0,0,0.81,0,0,0,0,0.81,1.61,0,0,16.92,0,0,0,0,3.22,0,0,0,0,4.83,0,0,0,0
 48-58,0,0,0,0.57,0,39.59,0,0,0,0,0,0,0,0,0,0,0.57,0.57,1.72,0,0.57,9.75,0,0,0,0,10.33,0,0,0,0,2.87,0,0,0,0.57
 60-70,0,0,0,1.96,0,124.65,0,0.98,3.93,0,0,0,0,0,0,0,0,0,5.89,0,0,20.61,0,0,0.98,0,11.78,0,0,0,0,0.98,0,0,0,2.94
 72-82,0,0,0,2.94,0,208.11,0.98,0,4.91,0.98,0,0.98,0,0,0,0,0,0.98,5.89,0,0.98,18.65,0,0,0,0,4.91,0.98,0,0,0,0.98,0.98,0,0,0
 84-94,0,0,0,1.06,0,145.5,0,1.06,6.37,0,0,0,1.06,0,0,1.06,0,0,8.5,1.06,0,18.05,0,0,2.12,0,24.43,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,6.56,1.09,143.16,0,1.09,2.19,1.09,0,1.09,0,1.09,0,1.09,0,0,5.46,1.09,0,21.86,1.09,0,0,0,16.39,0,0,0,0,0,17.49,0,0,0
108-118,0,0,0,3.06,0.77,117.96,0,0.77,3.83,0,0,0,0,0,0.77,0,0,1.53,1.53,0,0,15.32,0,0.77,2.3,0,7.66,0,0,0,0,0,22.21,0.77,0.77,1.53
120,0,0,0,0,0,115.63,0,0,3.92,0,0,0,1.96,0,0,0,0,0,1.96,0,0,29.4,0,0,0,0,5.88,0,0,0,0,0,11.76,1.96,0,0
