stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,16.42,0,0,0.82,0,0,4.1,0,0,0
 36-46,0,0,0,0,0.81,0,0,0.81,0,0.81,1.61,0,0,0,0,0,2.42,0,0,23.36,1.61,0,0,0,0,6.45,0,0,0
 48-58,0,0,0,0,0,0.57,0,4.02,0,0,1.72,0,0,0,0,0.57,1.72,0,0,13.77,0,0,0.57,0,0,1.15,0,0,0
 60-70,0,0,0,0,0,0,0,4.91,0.98,0,2.94,0,0,0,0,0,0,0,0,22.58,0,0,0,0,0,0.98,0.98,0,0
 72-82,0,0,0.98,0,0.98,2.94,0,4.91,0,1.96,7.85,0,0,0,0.98,0,1.96,0,0.98,15.71,0,0,0.98,0,0,0.98,0,0,0
 84-94,0,0,0,0,0,1.06,0,4.25,0,1.06,2.12,2.12,0,0,0,0,4.25,0,0,13.81,0,0,1.06,0,1.06,0,0,0,0
 96-106,0,0,0,0,1.09,3.28,0,8.74,0,0,1.09,0,0,0,2.19,0,6.56,0,1.09,6.56,0,2.19,2.19,0,2.19,0,0,1.09,0
108-118,0,0,0,0,1.53,1.53,1.53,3.83,0,0.77,3.83,0,0.77,0,2.3,0,3.06,0.77,0,13.02,0,0.77,3.83,1.53,3.06,0,0.77,0,0.77
120,0,0,0,0,3.92,3.92,0,3.92,0,1.96,5.88,0,1.96,1.96,1.96,0,1.96,0,3.92,19.6,0,0,13.72,0,0,1.96,0,0,0
