stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.65,6.29,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,6,4,0,5,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,24,1,0,1,0,0,0,0,3,0,6,5,0,0,2,0,0
 24-34,0,0,0,0,0.82,0,5.75,0,0,0,0.82,0.82,0.82,0.82,0.82,0,0,0,6.57,0,0,2.46,38.58,0,0.82,0.82,0,0,0.82,0,0,0.82,0.82,10.67,0,0,18.88,0,0
 36-46,0,0,0,0.81,0.81,0,2.42,0,0,0,2.42,0,0,0.81,0,0,0.81,0,12.89,0,0,2.42,53.98,0,1.61,0.81,0,0,0.81,0,0,0,0,13.7,0,0,4.83,0,0
 48-58,0,0,0,2.87,0,0,5.16,0,0,0.57,1.15,0,0,1.72,0.57,0.57,0,0.57,17.21,0.57,0.57,1.72,26.4,0.57,0.57,0,0,0,1.15,0,0,0.57,0,8.61,0,0,2.87,0,1.15
 60-70,0,0,0,1.96,0.98,0,5.89,0,1.96,1.96,2.94,0,0,1.96,0,0,0.98,0,29.45,0,0,2.94,40.24,0,0,1.96,0,0,2.94,0,0,0,0,7.85,0,0,2.94,0,0
 72-82,0,0,0,2.94,3.93,0,13.74,0,0,0,9.82,0,0,4.91,0,0,1.96,0,28.47,0,2.94,3.93,44.17,0,2.94,0.98,0,0,8.83,0,0,0,0,1.96,0,0.98,11.78,0,0.98
 84-94,0,0,1.06,3.19,1.06,0,15.93,0,1.06,1.06,7.43,3.19,0,7.43,1.06,1.06,0,1.06,16.99,0,5.31,1.06,18.05,2.12,1.06,2.12,0,0,26.55,0,0,2.12,0,3.19,1.06,0,6.37,2.12,2.12
 96-106,0,0,2.19,8.74,3.28,1.09,17.49,0,1.09,0,12.02,6.56,1.09,12.02,5.46,0,1.09,1.09,22.95,1.09,3.28,1.09,33.88,0,2.19,4.37,0,0,40.44,0,0,1.09,0,2.19,0,1.09,3.28,0,1.09
108-118,0,0,0.77,8.43,1.53,0,6.89,0.77,0,0,6.13,5.36,0.77,8.43,1.53,0,0.77,1.53,20.68,2.3,2.3,3.83,29.87,0.77,1.53,0.77,0,0,32.17,0,0,0,0,1.53,0.77,0,11.49,0.77,1.53
120,0,0,0,13.72,0,0,11.76,1.96,0,1.96,15.68,3.92,0,17.64,3.92,0,0,1.96,35.28,0,0,3.92,33.32,1.96,1.96,1.96,0,1.96,54.87,1.96,0,0,0,1.96,0,0,11.76,1.96,0
