stage,epidermis,eye,fast.muscle,glial,gut,immune,melanocytes,mesenchyme,neural,paraxial.mesoderm,pronephros,vasculature
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,3.15,0
 14-21,0,0,0,0,0,0,0,0,1,0,1,0
 24-34,0,0,0,0,0,0.82,0,0,2.46,0,1.64,8.21
 36-46,0,0,0,0,0,1.61,0,0.81,0.81,0,1.61,5.64
 48-58,0.57,0.57,0,1.15,0,1.15,0.57,0,1.15,0,1.72,5.74
 60-70,0,0,0,0,0,0.98,0,0,1.96,0,0.98,2.94
 72-82,0,2.94,0.98,0,0,0.98,0,0.98,2.94,0,2.94,5.89
 84-94,0,0,2.12,0,1.06,4.25,0,0,1.06,0,6.37,6.37
 96-106,0,0,0,0,0,6.56,0,0,1.09,1.09,6.56,10.93
108-118,0,0,0,0,0,0.77,0,0,1.53,0,6.13,8.43
120,0,0,1.96,0,3.92,0,0,0,0,0,1.96,9.8
