stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,214.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.89,0,2.63,0,0,0,18.4,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,99.89,0,0,0,34.17,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,0,0,28.32,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,217.14,9.44,0,0,84.97,0,6.29,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,9,2,0,13,0,0,0,4,1,0,0,0,0,0,0,0,0,4,0,0,2,78,0,0,1,4,0,0,13,0,0,16,34,0,0,2,0,1
 24-34,0,0,0,0,3.28,1.64,0,14.78,0,0,0,3.28,0,0,0,0,1.64,0,0.82,0,0,9.03,0,0,3.28,140.37,0.82,4.1,3.28,0,0.82,0,0,0,0.82,3.28,24.63,0,0,4.1,0,0
 36-46,0,0,0,0,1.61,0.81,0,24.98,0,0,0.81,9.67,0,0,0.81,0,0,0.81,0,0,0,15.31,0,0,4.83,138.58,0.81,1.61,0.81,0,1.61,0,0.81,0,0.81,0,37.06,0,0,1.61,0,0.81
 48-58,0,0,0,0,2.87,1.15,0,58.53,0.57,0.57,0.57,9.18,0.57,0,0.57,0,0,1.15,0,0.57,0.57,21.23,0.57,1.15,3.44,116.48,0,1.72,1.15,0,1.72,0,0,0,0,0,16.64,0,0,1.72,0,0.57
 60-70,0,0,0,0,2.94,1.96,0,56.93,0.98,0,0,17.67,0,0,0.98,0,0,0.98,0.98,0,0,25.52,0,0.98,5.89,133.49,0,0,0,0,0.98,0,0,0,0,0,21.59,0.98,1.96,2.94,0,0.98
 72-82,0,0,0,0,0.98,2.94,0,39.27,0,0,0,8.83,0,0,0.98,0,0,0,0,0,0,27.49,0,0.98,2.94,110.93,0,0.98,3.93,0,3.93,0,0,0.98,0.98,0,7.85,0.98,0.98,0.98,0,2.94
 84-94,0,0,1.06,0,6.37,2.12,0,39.3,1.06,0,2.12,10.62,2.12,0,0,2.12,2.12,0,0,1.06,1.06,23.36,1.06,0,6.37,56.29,2.12,0,2.12,0,10.62,0,0,1.06,0,0,1.06,0,1.06,2.12,0,0
 96-106,0,0,0,0,8.74,4.37,0,24.04,1.09,0,1.09,5.46,2.19,0,0,1.09,0,0,4.37,0,1.09,16.39,1.09,1.09,1.09,37.16,0,3.28,1.09,0,5.46,0,0,0,0,0,1.09,0,0,2.19,5.46,2.19
108-118,0,0,0,0,6.89,2.3,0.77,24.51,0.77,0.77,0,8.43,3.06,0,0,1.53,0,0,0,1.53,0,14.55,0.77,1.53,6.13,47.49,0.77,1.53,3.06,0,7.66,0,0,0,0,0,1.53,0,0,0.77,0.77,1.53
120,0,0,0,0,11.76,5.88,1.96,23.52,0,1.96,3.92,3.92,0,0,0,3.92,1.96,0,0,0,0,7.84,0,1.96,3.92,48.99,3.92,0,1.96,0,13.72,0,0,0,0,0,5.88,0,0,3.92,0,0
