stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,6,0,0,0,0
 24-34,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,22.98,0,0,0,0,0,0,18.88,0,0,0,0
 36-46,0,0,0,0,0,0,1.61,0,0.81,0,0,0,0,0.81,0.81,0,0,0,0,74.12,0,0,0.81,0,0,0.81,46.73,0,0,0,0.81
 48-58,0,0,0.57,0,0,0.57,10.33,0.57,2.87,0,0,0,0,0,0,0,1.15,0,0,152.06,0,0,0,0,0,0,43.61,0,1.15,0,0.57
 60-70,0,0,0,0,0.98,0,49.08,0,11.78,0,0,0,0,1.96,0,0,3.93,0.98,0.98,340.59,0.98,0,0.98,0,0,0,70.67,0,0,0.98,0
 72-82,0,0,0,0,1.96,0,59.88,0,20.61,0.98,0,0,0.98,3.93,0,1.96,3.93,0,0.98,428.99,0,0.98,0.98,0,0,0,50.06,0.98,0,0,0
 84-94,0,0,0,0,2.12,1.06,53.1,0,8.5,1.06,1.06,3.19,0,2.12,0,0,1.06,1.06,0,214.53,0,0,0,0,0,0,27.61,0,0,0,1.06
 96-106,0,0,1.09,0,5.46,2.19,48.09,0,12.02,2.19,0,1.09,1.09,2.19,0,0,2.19,0,0,201.08,0,1.09,4.37,1.09,0,0,20.76,0,0,1.09,0
108-118,0,0,0,0,3.06,0,33.7,0,8.43,0,0,2.3,0,0.77,0,0,4.6,0,0,228.26,3.06,0,0,0,0,0,7.66,0.77,0.77,0,0
120,0,0,0,0,1.96,0,25.48,0,13.72,0,0,1.96,0,0,0,0,0,0,0,282.21,1.96,0,0,0,0,0,13.72,0,1.96,0,0
