stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,751.14,13349.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513.94,0,0,0,0,0,0,0,0,0
  5-6,539.41,5958.01,6.13,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,122.59,18.39,0,0,42.91,0,79.69,0,0,0,0,0,0,0,0,0
  7-9,52.57,89.38,134.06,0,0,212.93,0,0,0,0,76.23,0,0,0,0,0,0,0,0,0,0,0,2050.4,57.83,0,0,670.32,0,2.63,2.63,0,0,0,0,0,0,0,0
 10-12,0,59.79,110.14,0,12.59,166.79,0,0,0,0,40.91,0,0,0,0,0,0,0,0,0,0,3.15,2127.35,28.32,0,0,616.81,0,0,3.15,0,47.2,3.15,3.15,0,0,0,0
 14-21,0,0,5,28,16,28,0,0,8,0,2,0,0,2,0,0,0,0,34,0,0,8,407,4,1,1,7,0,4,0,36,4,11,105,0,1,0,0
 24-34,0,0,4.93,4.93,0.82,58.28,0.82,0.82,12.31,0.82,0.82,0,0,2.46,0,0,1.64,0,45.97,0,0,22.16,499.08,0.82,4.1,4.1,0,0.82,4.93,0,0.82,0.82,4.1,99.32,0,6.57,0,0
 36-46,0,0,0.81,4.03,0.81,126.49,0,0,12.89,0,0,0,0,0,0,0,1.61,0,41.89,0,1.61,11.28,292.46,1.61,3.22,0.81,0,0,3.22,0,0,0,0,73.32,0,0.81,0,0
 48-58,0,0,0,4.59,2.3,165.83,0.57,0.57,12.05,0,0,1.15,1.15,1.15,0.57,0,0,0.57,60.25,0.57,2.87,12.05,173.29,0.57,1.72,0,0,0,1.15,0,0,0.57,0,18.94,0,3.44,0,0.57
 60-70,0,0,0,5.89,0,121.71,0,1.96,28.46,2.94,0,0,2.94,0,0,2.94,0.98,0,38.28,0,3.93,6.87,75.58,0,0,0.98,0,0.98,1.96,0,0,0,0,3.93,1.96,1.96,0,0.98
 72-82,0,0,0,7.85,0.98,48.1,0,1.96,29.45,1.96,0,0,4.91,0,0,0.98,0.98,0,47.12,0.98,0.98,3.93,71.66,0.98,0.98,0,0,0,0,0,0,0,0,3.93,0.98,5.89,0,1.96
 84-94,0,0,0,6.37,1.06,46.73,1.06,1.06,14.87,3.19,0,0,2.12,3.19,0,0,0,0,38.23,0,2.12,6.37,58.41,0,0,1.06,0,0,1.06,0,0,0,0,3.19,1.06,5.31,1.06,0
 96-106,0,0,0,1.09,2.19,34.97,0,2.19,10.93,2.19,0,2.19,1.09,0,0,1.09,0,0,31.69,0,1.09,5.46,43.71,0,3.28,3.28,0,0,2.19,0,0,0,0,3.28,1.09,6.56,1.09,0
108-118,0,0,0,5.36,1.53,19.15,0,1.53,22.21,3.83,0,0,1.53,1.53,0.77,0.77,0.77,0,22.98,0,0,4.6,58.98,0.77,0,2.3,0,0,2.3,0,0,0.77,0,0,0,0.77,0,1.53
120,0,0,0,5.88,0,25.48,0,0,25.48,3.92,0,1.96,3.92,0,0,0,0,0,31.36,0,0,7.84,50.95,0,0,0,0,0,1.96,0,0,0,0,1.96,1.96,1.96,1.96,0
