stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,hatching.gland,heart,immune,ionocyte,liver,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0,6.57,0,0,0,0,0,0,0
 36-46,0,0.81,0,0.81,0,0,0,0,0,0,0,0,0,12.09,0.81,0,0,0,0,1.61,0
 48-58,0,0,0,1.15,0.57,0,0,0,0.57,0,0,1.15,0,23.53,1.15,0,0,0,0,2.3,0
 60-70,0,0,0,2.94,0,0,0,0.98,0.98,0,0,0.98,0.98,45.15,2.94,0,0,0,0,5.89,0
 72-82,0,1.96,0.98,3.93,0,0,0,0,3.93,0,0,0,0,23.56,0,0,0,0,0,1.96,1.96
 84-94,0,1.06,1.06,2.12,1.06,0,0,0,2.12,0,0,1.06,0,10.62,2.12,0,2.12,1.06,0,4.25,2.12
 96-106,0,0,0,4.37,1.09,0,0,0,3.28,0,1.09,2.19,0,2.19,1.09,0,9.84,0,0,1.09,0
108-118,0,1.53,0,0.77,0,0.77,0,0,2.3,0.77,1.53,0.77,0,10.72,0,0,2.3,0,0,0.77,2.3
120,0,0,0,3.92,0,0,0,0,19.6,0,0,3.92,0,13.72,0,0,15.68,0,0,1.96,0
