stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,1,0,1,1,0,0,0,0
 24-34,0,0,0,1.64,0,0,0,0.82,0,0,0,0,0,0,0.82,1.64,0,1.64,7.39,0,1.64,0,0,2.46,0,0,0.82,4.1,0,0,0,0
 36-46,0,1.61,0,1.61,1.61,0.81,0,1.61,0,0,0,0,0,0,0,1.61,0,0.81,14.5,0,0,0,0,0.81,0,0.81,0,6.45,0,0,0,0
 48-58,0,0,0,4.02,1.15,0,0,1.15,0,0,0,0.57,0,0,0,2.3,0.57,0.57,16.64,0.57,0,0,0,0,0,0.57,0,3.44,0,0,0,0
 60-70,0,0.98,0,19.63,2.94,0,0,2.94,0,0,0,0,0,0,0,2.94,0,0,29.45,0,0,0,0,3.93,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,39.27,0,0,0,4.91,0.98,0,0,0,0,0.98,0,6.87,0,0,27.49,0,0.98,0.98,0,0,0,0,0,2.94,0,0,0.98,0
 84-94,0,2.12,1.06,23.36,0,2.12,0,2.12,1.06,1.06,2.12,2.12,1.06,0,0,3.19,1.06,0,19.12,0,0,0,0,3.19,0,0,0,3.19,0,0,0,1.06
 96-106,0,2.19,0,38.25,0,1.09,1.09,0,0,0,0,0,0,0,0,1.09,2.19,1.09,14.21,1.09,1.09,0,0,4.37,0,0,0,1.09,0,1.09,0,0
108-118,0,2.3,0,31.4,0,0.77,0,0.77,0,0,0,0,0,0,0,6.13,0,0,13.02,0,0,1.53,0,2.3,0,0,0,0.77,0.77,0,0,0
120,0,5.88,0,27.44,1.96,0,0,1.96,1.96,0,0,1.96,0,0,1.96,3.92,0,0,15.68,0,0,0,0,0,0,0,0,1.96,0,0,0,0
