stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,1186.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,79.69,1391.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.04,0,0,0,12.26,36.78,0,0,0,0,0,0,0,0,0,0
  7-9,23.66,39.43,34.17,0,0,49.95,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,496.83,7.89,0,0,176.12,2.63,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,15.73,0,0,50.35,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,434.28,22.03,0,0,154.2,0,3.15,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,2,9,0,2,0,0,0,2,1,0,0,0,2,0,0,4,0,0,4,54,0,0,0,2,0,0,9,0,1,8,18,0,0,0,0
 24-34,0,0,0,0.82,0,11.49,0,0,0,1.64,0,0,0,0,0,0,0,9.85,0,0,4.1,105.07,1.64,2.46,2.46,0,1.64,0,0,0,0,1.64,24.63,0,4.1,0,0
 36-46,0,0,0,0.81,0,28.2,0,0.81,0,6.45,0,0,0,0.81,0,0,0,9.67,1.61,0,2.42,130.52,0.81,0,0,0,0.81,0,0,0.81,0,0,24.98,0,0.81,0,0.81
 48-58,0,0,0,1.72,0.57,33.28,0,0,0,6.31,0,0,0,0,0,0,0,10.33,0,0,2.3,98.12,0,0.57,0,0,1.72,0,0,0,0,0,15.49,0,0,0,0
 60-70,0,0,0,0,0.98,36.32,0,0.98,0,1.96,0.98,0.98,0,0,0,0,0,8.83,0,0,1.96,88.34,0,0,0.98,0,0.98,0,0,0,0,0,7.85,0.98,0,0,0
 72-82,0,0,0,0.98,1.96,34.36,0,0.98,0,7.85,1.96,0,0.98,0,0,0,0,15.71,0,0,3.93,88.35,0,0,2.94,0,1.96,0,0,0,0,0,4.91,0,1.96,0.98,0
 84-94,0,0,0,5.31,1.06,39.3,1.06,0,1.06,8.5,1.06,0,0,0,0,0,0,18.05,0,0,2.12,38.23,0,0,1.06,0,5.31,0,0,0,0,0,3.19,0,0,0,1.06
 96-106,0,0,0,0,1.09,17.49,1.09,0,1.09,6.56,0,0,0,0,1.09,0,0,19.67,0,1.09,1.09,36.06,0,1.09,1.09,0,3.28,0,0,0,0,0,3.28,1.09,1.09,0,0
108-118,0,0,0,2.3,2.3,11.49,0,0.77,0,3.06,0.77,0,0,0.77,3.06,0,0.77,15.32,0,0.77,1.53,33.7,0,0.77,1.53,0,2.3,0,0,0,0,0,3.06,0,1.53,0,0.77
120,0,0,0,1.96,0,9.8,0,0,0,3.92,0,0,0,0,0,1.96,0,15.68,0,1.96,1.96,39.2,0,0,3.92,0,1.96,0,0,0,0,0,0,1.96,0,0,0
