stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,6,158,19,0,23,0,6,0,4,7,126,4,0,4,0,0,1,0,29,1,0,17,276,8,0,8,5,0,68,0,19,3,3,36,105,0,0,7,0,1
 24-34,0,3.28,97.68,4.1,0,64.85,0,11.49,1.64,19.7,1.64,34.48,5.75,3.28,17.24,0,5.75,4.93,4.1,74.7,24.63,0,26.27,553.26,10.67,3.28,9.03,0,1.64,105.07,0,0,9.85,0,9.03,130.52,0,0,46.79,0,2.46
 36-46,0,1.61,44.31,0,0,60.43,0,7.25,3.22,48.34,7.25,8.06,4.03,5.64,8.86,1.61,4.83,3.22,12.09,74.93,33.84,0.81,23.36,326.3,2.42,4.83,5.64,0,0,83.79,0,0,9.67,0.81,0,128.1,0,0,23.36,0,4.83
 48-58,0,0.57,45.33,5.74,0,134.84,0,13.2,10.33,79.76,5.74,9.75,4.02,8.03,6.89,1.72,4.59,1.72,8.03,150.34,29.84,8.61,25.25,183.04,5.16,1.15,8.03,0,1.15,80.33,0,0,8.03,0,0,75.74,0,1.15,22.38,0,8.03
 60-70,1.96,0.98,44.17,20.61,0,249.31,0.98,16.69,13.74,118.76,21.59,1.96,6.87,12.76,5.89,3.93,4.91,3.93,3.93,202.19,27.48,10.8,23.56,127.6,5.89,7.85,12.76,0,0,97.17,0,0,11.78,0,0,27.48,0,5.89,19.63,1.96,4.91
 72-82,15.71,0.98,65.77,21.6,0,417.21,1.96,14.72,18.65,195.35,75.59,7.85,8.83,27.49,16.69,2.94,16.69,0,4.91,387.76,67.73,17.67,35.34,163.94,6.87,10.8,17.67,0,5.89,107.98,0.98,0,10.8,0.98,0,17.67,6.87,12.76,51.05,8.83,10.8
 84-94,10.62,1.06,122.13,30.8,0,234.71,0,30.8,8.5,88.15,130.63,6.37,3.19,45.67,21.24,8.5,5.31,3.19,10.62,224.09,48.85,8.5,11.68,78.59,10.62,2.12,22.3,0,3.19,294.18,1.06,0,21.24,0,0,3.19,10.62,5.31,33.99,8.5,9.56
 96-106,9.84,1.09,122.4,30.6,1.09,219.66,1.09,42.62,5.46,107.1,212.01,2.19,7.65,62.29,29.51,4.37,14.21,8.74,7.65,190.16,68.85,17.49,9.84,110.38,10.93,17.49,15.3,0,3.28,244.8,0,0,12.02,1.09,0,12.02,21.86,8.74,34.97,15.3,6.56
108-118,9.19,6.89,124.09,14.55,3.83,145.53,0.77,32.94,5.36,79.66,222.9,0,6.89,36,20.68,11.49,10.72,12.26,6.13,140.94,50.55,10.72,9.96,92.68,7.66,6.13,22.21,0,6.13,214.47,0,0,9.19,0.77,0,3.83,9.96,2.3,26.04,6.13,3.06
120,3.92,1.96,113.67,15.68,1.96,103.87,1.96,35.28,3.92,41.16,178.34,0,7.84,50.95,7.84,9.8,7.84,5.88,5.88,105.83,29.4,3.92,9.8,123.47,9.8,5.88,13.72,0,3.92,170.5,0,0,1.96,1.96,0,1.96,19.6,11.76,15.68,1.96,1.96
