stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,26.36,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,245.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,0,7.89,0,0,42.06,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,228.7,2.63,0,68.35,0,2.63,0,0,0,0,0,0
 10-12,0,6.29,18.88,0,0,47.2,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,242.32,3.15,0,84.97,3.15,0,0,6.29,0,0,0,0
 14-21,0,0,0,6,6,4,0,0,2,0,0,0,0,0,1,0,6,0,3,0,75,3,1,0,10,1,14,1,5,17,0,0
 24-34,0,0,0.82,1.64,2.46,17.24,0,0,1.64,0,0.82,0.82,0,0,0,0,2.46,0.82,4.93,0,48.43,1.64,0,0,27.09,0,0,0,0,13.95,0,0
 36-46,0,0,0,0,0.81,10.47,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,24.98,0,0,0,12.09,1.61,0,0,0,1.61,0,0
 48-58,0,0,0,0,0,6.89,0,0,0.57,0,0,0,0,0.57,0,0.57,0.57,0,0,0.57,6.31,0,0,0,0.57,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.82,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,7.85,0,0.98,0.98,1.96,0,0,0.98,0,0,0,0.98,0,0,0,3.93,0,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,1.06,3.19,1.06,0,0,0,0,0,1.06,0,0,0,0,0,0,0,1.06,0,1.06,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,1.09,0,2.19,0,0,0,1.09,0,0,0,0,0,0,0,0,1.09,0,3.28,0,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0.77,0,0,3.06,0,0,0.77,0.77,0,0,0.77,0,0,0,0,0,0,1.53,2.3,0,0,0,0.77,0.77,0,0,0,0.77,0,0
120,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,1.96
