stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,26.29,2.63,0,0,28.92,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,28.32,3.15,0,0,22.03,0,0,0,3.15,0,6.29,0,0,0,0,0
 14-21,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,16,8,69,1,0,0,0,0,5,0,358,345,2,0,1,0,0
 24-34,0,0,0,1.64,1.64,5.75,18.88,0,0,0.82,0,0,4.1,0,0.82,0,0,1.64,0,16.42,23.8,6.57,0,0,0,0,2.46,0,0,131.34,75.52,4.93,0,1.64,0,0
 36-46,0,0,0,1.61,0,1.61,18.53,0,0,0.81,0,0,8.06,0,0,0,0,3.22,0.81,5.64,15.31,4.03,0.81,0,0,0,0,0,0,91.85,4.03,3.22,0,0,0,0.81
 48-58,0,0,0,0,0,2.3,22.38,0,0,0,0,0,3.44,0,0,0,0,1.72,0,5.74,12.62,1.72,0,0,0,0,0,0,0,37.87,0,0.57,0.57,0,0,0
 60-70,0,0,0,0,0,2.94,30.43,0,0,1.96,0,0,3.93,0,0,0,0,0.98,0,6.87,9.82,7.85,0,0,0,0,0,0.98,0,28.46,0,0,1.96,0,2.94,0
 72-82,0,0,0,0,1.96,2.94,39.27,0.98,0.98,0.98,0,0,0.98,0.98,0,0,0,3.93,1.96,7.85,7.85,0,0,0,0,0.98,0,0,0,12.76,0,0,2.94,0.98,24.54,0
 84-94,0,0,0,0,0,6.37,61.6,0,0,0,1.06,0,2.12,0,0,0,0,4.25,2.12,7.43,3.19,0,0,0,0,0,1.06,0,0,22.3,0,1.06,4.25,1.06,28.68,0
 96-106,0,0,0,1.09,3.28,12.02,103.82,0,0,2.19,0,0,7.65,0,1.09,1.09,1.09,4.37,1.09,8.74,15.3,2.19,1.09,1.09,1.09,1.09,2.19,0,0,33.88,0,1.09,6.56,0,51.36,2.19
108-118,0,0,0,0.77,0,2.3,85.79,0,0.77,1.53,0,0,6.13,0,0,0,0,5.36,0.77,11.49,9.19,3.06,0.77,0,0,0.77,0.77,0,0,22.98,0,0,6.13,0,29.87,0
120,0,0,0,0,0,0,72.51,0,0,1.96,0,0,1.96,0,0,0,0,1.96,0,11.76,3.92,0,0,0,0,0,0,0,0,19.6,0,0,13.72,0,41.16,0
