stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,12.59,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7,1,2,0,0,0,3,2,0,0,0,0,0,3,0,2,34,0,2,1,0,0,2,1,6,25,0,0,0
 24-34,0,0,0,2.46,1.64,1.64,0,0.82,0,2.46,0,0.82,0,0,0,0,19.7,0,6.57,92.76,0,0.82,0,0,0,0,0,1.64,29.55,0,5.75,0
 36-46,0,0,0,1.61,0,4.83,0,0,0.81,8.06,0,1.61,0,0,0.81,0,27.39,1.61,6.45,64.45,0,1.61,0,0,0.81,0,0,0,29.81,0,3.22,0
 48-58,0,0,0,0,0,6.31,0,0,4.02,12.05,0,1.72,0,1.15,0,0,31.56,0.57,5.74,21.8,0,0.57,0,0.57,0.57,0,0,0,15.49,0,4.02,0
 60-70,0,0,0,0,0,2.94,0,0,0,13.74,0,0,0,0.98,0,0,45.15,2.94,4.91,11.78,0,0.98,0,0.98,0,0,0,0,1.96,2.94,4.91,0
 72-82,0,0,0,0,0,6.87,0,0,0.98,23.56,0,0,0,0,0.98,0,53.01,1.96,9.82,17.67,1.96,1.96,0,2.94,3.93,0,0,0,0,1.96,5.89,1.96
 84-94,0,0,0,2.12,0,2.12,1.06,0,0,14.87,0,2.12,0,1.06,0,0,38.23,0,4.25,9.56,1.06,0,0,0,5.31,0,0,0,1.06,2.12,4.25,1.06
 96-106,0,0,0,0,0,2.19,0,0,0,8.74,0,1.09,0,1.09,0,0,19.67,1.09,4.37,9.84,0,2.19,0,1.09,2.19,0,0,0,2.19,1.09,5.46,1.09
108-118,0,0,0,0.77,0,0.77,0,0,0.77,6.13,0,0.77,0,1.53,0,0.77,22.98,0.77,0.77,6.89,0,0,0,0,0,0,0,0,0.77,0.77,5.36,0.77
120,0,0,0,0,0,1.96,0,0,0,3.92,0,1.96,1.96,0,0,0,17.64,0,0,1.96,0,0,0,1.96,0,0,0,0,0,0,1.96,1.96
