stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,periderm,spinal.cord,taste,vasculature
 14-21,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,27,0,2,0,5,0,0
 24-34,0,0,0.82,0,0,6.57,0,0,2.46,0,0,0,0,0.82,0,0,0,0,87.01,0.82,0,0,19.7,0,0
 36-46,0,0.81,0,0,0,14.5,0,0.81,2.42,0,0,0.81,0,0,0.81,3.22,0.81,0.81,65.26,0,0,3.22,17.72,0,0
 48-58,0,0,0.57,0,0,37.87,0,0,2.87,0,0,0,0,0,0.57,1.15,0.57,0,32.13,0,0,1.15,3.44,0,0
 60-70,0,0,2.94,0,0,52.02,0,0,6.87,0,0,0,0,0,0,4.91,0,0,22.58,0,0,1.96,0.98,0,0
 72-82,0,0,0,0,0,52.03,0,0,13.74,0,3.93,0,0,0,0,3.93,0,0,25.52,0,0,0,1.96,0,0.98
 84-94,0,0,1.06,0,0,41.42,0,0,1.06,0,4.25,0,0,0,0,5.31,0,1.06,9.56,0,0,2.12,1.06,0,0
 96-106,0,0,2.19,1.09,0,28.41,0,0,8.74,1.09,8.74,1.09,1.09,0,0,2.19,0,0,15.3,0,0,1.09,1.09,1.09,0
108-118,0,0,0,0,9.19,16.85,0.77,0,7.66,0,9.96,0.77,0,0,0,2.3,0.77,0,13.02,0,0.77,0,0,0.77,0.77
120,1.96,0,1.96,0,5.88,31.36,1.96,0,7.84,0,5.88,1.96,0,0,0,0,0,0,9.8,0,0,0,0,0,0
