stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5,0,0,0,0,0,0,10,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0.82,5.75,0,0,0,0,0,0,12.31,0,0,0,3.28,0.82,10.67,0,2.46,4.93,0.82,3.28,1.64,0,0,0
 36-46,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,11.28,0,0.81,3.22,0,2.42,0,0,0.81,0
 48-58,0,0,0,0.57,0.57,0,1.72,0.57,0,1.15,0,1.72,1.15,0,0,1.72,0,10.9,0,0.57,2.87,0,0.57,0,0,0,0.57
 60-70,0,0,0,0,0.98,0,2.94,0,0,0,0,1.96,0,0,0,0,0,10.8,0,0,3.93,1.96,2.94,0,2.94,0,0
 72-82,0,0,0,0,7.85,0,0.98,0,0,3.93,0.98,0.98,0.98,0,1.96,1.96,0,9.82,0,0,9.82,0,1.96,0,5.89,0,0
 84-94,0,0,2.12,0,6.37,0,3.19,0,1.06,6.37,1.06,6.37,0,0,0,2.12,0,5.31,0,0,3.19,0,1.06,0,10.62,0,0
 96-106,0,0,0,0,5.46,0,1.09,0,3.28,7.65,0,2.19,0,1.09,1.09,2.19,1.09,9.84,1.09,0,10.93,3.28,1.09,0,3.28,0,0
108-118,0,0,2.3,0,5.36,0.77,0.77,0,0,5.36,0.77,0.77,0.77,0,1.53,1.53,0,3.06,0,0,13.79,1.53,0.77,0,7.66,0,0
120,0,0,0,0,1.96,0,1.96,0,0,1.96,0,1.96,1.96,0,0,1.96,0,0,0,0,7.84,1.96,1.96,0,5.88,1.96,0
