stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.43,2.63,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.65,0,0,0,25.18,0,0,6.29,0,3.15,0,3.15,0,0,0,0
 14-21,0,0,18,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,8,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0
 24-34,0,0,8.21,0,2.46,0,0,0.82,1.64,4.1,0,0,0,0,0,13.95,0,0.82,4.93,16.42,0,2.46,3.28,0,2.46,0,0,0,0,0,4.1,0,0,0,0
 36-46,0,0,2.42,0,2.42,0,0,0,1.61,1.61,0.81,0,0,0.81,0,62.84,0,4.83,6.45,8.86,0,0.81,3.22,0,0,0,0,0,1.61,0,5.64,0,0.81,0.81,0
 48-58,0,0,0.57,0,1.72,0,1.15,0,2.87,0,0,0,0,0.57,0.57,173.86,0.57,12.62,4.59,18.94,0.57,1.15,5.74,0,0,0,0,0,0,0.57,6.89,0,0.57,0,0
 60-70,0,0,1.96,0,4.91,0,0,0.98,4.91,0.98,0,0.98,0,0,0.98,292.49,0,22.58,2.94,12.76,2.94,0.98,2.94,0,3.93,0.98,0,0,0,0,2.94,0,4.91,0,2.94
 72-82,0,0,3.93,0.98,15.71,0,1.96,0.98,3.93,0,4.91,0,0,0,0,290.57,0,25.52,16.69,18.65,1.96,1.96,5.89,0,9.82,0.98,0,0,0.98,0,5.89,0,12.76,0.98,0.98
 84-94,0,0,4.25,0,13.81,0,0,0,8.5,0,1.06,0,1.06,1.06,0,183.73,1.06,24.43,4.25,8.5,1.06,1.06,4.25,0,2.12,0,0,0,1.06,0,3.19,0,10.62,1.06,5.31
 96-106,0,0,3.28,0,5.46,0,0,0,12.02,2.19,0,1.09,0,0,0,112.56,0,18.58,1.09,17.49,0,1.09,5.46,0,7.65,1.09,0,0,0,0,3.28,1.09,4.37,0,2.19
108-118,0,0,0,0,8.43,0,0,0,3.83,0.77,2.3,0.77,0,1.53,0.77,109.53,0,19.15,0,13.79,0.77,1.53,3.83,0,6.13,0.77,0,0,0.77,0,0.77,0,3.06,0,3.06
120,0,0,0,1.96,11.76,1.96,1.96,0,1.96,0,3.92,0,0,0,1.96,76.43,0,13.72,0,25.48,0,3.92,1.96,0,7.84,0,0,0,0,0,0,0,3.92,1.96,3.92
