stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,9.03,0,0.82,0,0.82,0,0,0,0,0,0.82,0,0,0,7.39,2.46,0,0,0,1.64,0,0.82,0,0,0.82,0,0.82
 36-46,0,0,0,0.81,0,0,4.03,0,0,0,0,0,0,0,0,0,0.81,0.81,0.81,0,16.11,3.22,0,0.81,0,0.81,0,1.61,0,0,0.81,0,4.03
 48-58,0,0,0,0,0,0,5.74,0.57,0.57,0,1.72,0.57,0,0,0,0,6.31,0.57,0,1.15,13.77,3.44,0.57,0.57,0,0,0,2.3,0,0,0,0,3.44
 60-70,0.98,0,0,0.98,0.98,0,11.78,0,4.91,0,1.96,0,0,0,0,0.98,15.7,0.98,0,0,10.8,2.94,0,1.96,0,0.98,0,2.94,0,0,0.98,0,1.96
 72-82,0,0,0.98,0,1.96,0,15.71,0.98,5.89,0,5.89,0,0,0,0,0,30.43,0.98,0,0.98,3.93,0.98,0,0.98,0,0.98,0,0.98,0,0.98,0,0,0.98
 84-94,0,0,1.06,0,3.19,0,21.24,0,2.12,1.06,12.74,0,3.19,0,0,1.06,13.81,0,0,1.06,6.37,2.12,0,1.06,0,2.12,0,1.06,0,0,1.06,1.06,5.31
 96-106,0,0,0,1.09,4.37,0,19.67,0,1.09,2.19,12.02,1.09,0,0,0,0,16.39,1.09,0,0,5.46,5.46,2.19,0,0,0,0,0,0,0,2.19,0,3.28
108-118,0,0,0,0.77,0.77,0.77,17.62,0,2.3,2.3,6.13,0,1.53,0.77,0.77,0,6.89,1.53,0,0,6.13,3.83,0,0.77,0,0.77,0.77,0,0.77,0,0.77,0,3.06
120,0,0,1.96,0,0,0,7.84,0,0,1.96,9.8,0,1.96,1.96,0,0,5.88,0,0,1.96,7.84,1.96,1.96,1.96,0,0,0,0,0,0,0,0,1.96
