stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,1,9,0,1,0,0,1,0,1,0,0,0,0,0,2,0,0,2,1,0,5,0
 24-34,0,0,7.39,0.82,0,0,0,0,0.82,0.82,0.82,1.64,0,0.82,0,4.1,9.03,3.28,4.93,0,0.82,13.13,0
 36-46,0,0,1.61,0,0,0.81,0,0,0,0.81,0,0,0,3.22,0,4.03,12.89,1.61,4.83,0,0,17.72,0
 48-58,0,0,1.72,0,2.3,0,0,0.57,0,0,0,0,0.57,1.15,0,6.31,9.75,0.57,4.59,0,0,5.16,0
 60-70,0,0,0.98,0,0,0,0,0,0,0,0.98,0.98,0.98,0.98,0,5.89,5.89,0,1.96,0,0,5.89,0
 72-82,0,0.98,0,0,0.98,0.98,0,0,0.98,0.98,0.98,0,1.96,3.93,0,6.87,17.67,0,3.93,0,0,5.89,1.96
 84-94,0,1.06,0,0,0,0,0,1.06,1.06,3.19,0,1.06,0,1.06,1.06,4.25,13.81,0,4.25,0,0,3.19,0
 96-106,0,2.19,4.37,0,2.19,0,1.09,0,9.84,1.09,0,1.09,1.09,0,0,1.09,27.32,2.19,15.3,0,0,2.19,1.09
108-118,0,4.6,0.77,0,1.53,0,0,0.77,3.83,0,0.77,0,0,0.77,0,4.6,13.02,0.77,10.72,0,0,3.83,0.77
120,0,5.88,3.92,0,0,0,0,0,3.92,0,0,0,0,0,0,0,13.72,1.96,5.88,0,0,5.88,0
