stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,395.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,5.26,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.86,36.8,0,0,157.72,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,18.88,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.47,50.35,0,0,264.35,0,0,3.15,3.15,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5,4,0,2,0,0,0,0,2,0,0,9,0,0,0,0,1,0,0,2,244,289,1,0,75,0,0,0,38,6,1,7,79,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,18.88,0,0,1.64,1.64,0,0,0,47.61,0.82,0,0,0,10.67,6.57,0,2.46,430.95,100.97,6.57,0,0,0,0,0,0,4.93,0,9.85,124.77,0,0,0.82,0,0.82
 36-46,0,0,0,0,0.81,0,0,46.73,0,0,0,8.86,0,0,0,29,0,0,0,0,9.67,3.22,0,0.81,620.37,53.17,11.28,0,0,0,0,0,0,4.83,0,0,160.33,0,0,0.81,0,0
 48-58,0,0,0,0,1.72,0,0,180.75,0,0,0,18.36,0,0.57,0,4.59,0,0,0,0,14.92,0.57,0,2.3,663.32,28.12,9.18,0,0.57,0,0.57,0,0,1.72,0,0,140.58,0,0,1.15,0,0.57
 60-70,0,0,1.96,0,0,0.98,0,575.17,0,0.98,1.96,39.26,0,0,0.98,1.96,0,0,0,0,26.5,0.98,0,1.96,1044.34,22.58,9.82,1.96,0,0,1.96,0,0,4.91,0,0,133.49,0,0,0,0,3.93
 72-82,0,0,0,0,6.87,1.96,0,595.87,0,3.93,1.96,40.25,2.94,0,1.96,6.87,0.98,0.98,0.98,0.98,42.21,0,0.98,2.94,938.47,24.54,15.71,3.93,0,0,0,0,0,2.94,0,0,83.44,0,1.96,1.96,1.96,0
 84-94,0,0,1.06,0,6.37,3.19,0,381.27,0,1.06,0,27.61,1.06,0,0,6.37,1.06,0,0,2.12,26.55,1.06,1.06,4.25,487.48,40.36,8.5,2.12,0,0,2.12,0,0,1.06,0,0,36.11,0,1.06,1.06,2.12,0
 96-106,0,0,3.28,0,7.65,2.19,0,268.84,0,0,0,31.69,2.19,0,2.19,4.37,2.19,0,0,0,30.6,3.28,1.09,2.19,410.91,37.16,24.04,2.19,0,0,1.09,0,0,1.09,0,0,18.58,0,1.09,4.37,1.09,0
108-118,0,0,0.77,0.77,8.43,0.77,0,189.96,0,0,0,22.98,3.06,0,1.53,5.36,0,0,0.77,0.77,30.64,1.53,0,0,461.11,40.6,15.32,0.77,0,0.77,0,0,0,3.06,0,0,14.55,1.53,0,1.53,0,0
120,0,0,0,0,13.72,0,1.96,141.1,1.96,0,3.92,25.48,1.96,0,3.92,9.8,0,0,0,1.96,17.64,0,0,3.92,511.5,70.55,9.8,1.96,0,0,0,0,0,1.96,0,0,17.64,0,0,1.96,3.92,0
