stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,7,0,0,45,0,0,0,0,0,0,0,18,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,7.39,0,0,0,0,5.75,0,0,1.64,0,4.1,0,1.64,120.67,0,0,0,0.82,0,0.82,0.82,30.37,0,0,4.93,0,0
 36-46,0,0,0,0,0,0,11.28,0,0,4.03,0,4.03,0,0,0,0,3.22,0.81,0,244.92,0,0,0.81,0,0,0,0,44.31,0,0,1.61,0,0
 48-58,0,0,0,0,0.57,0,19.51,0.57,0,4.59,0,2.3,0,0.57,0,0.57,2.3,0.57,0.57,184.77,0,0,0,1.72,0,0,0,31.56,0,0,0,0,0
 60-70,0,0,0.98,0,0,0,53.98,0,0,10.8,0,0.98,0,0,0,0,7.85,0,0,331.75,0,0,0,0,0,0,0,46.13,0,0.98,0.98,0,0
 72-82,0,0,0,0,0,0.98,65.77,0,0,8.83,0.98,0.98,0,0,0,0,4.91,0,0,271.92,0,0,0,0.98,0,0,0,17.67,0,0,2.94,0,0
 84-94,0,0,0,0,2.12,1.06,49.92,2.12,1.06,4.25,0,1.06,0,0,0,0,4.25,2.12,0,157.18,1.06,0,0,1.06,1.06,0,0,10.62,0,1.06,1.06,0,1.06
 96-106,0,0,0,0,4.37,1.09,28.41,2.19,1.09,5.46,0,0,0,0,0,0,6.56,0,0,128.96,0,1.09,0,0,0,0,0,6.56,0,0,0,0,0
108-118,0,0,0,0,1.53,0,26.04,0,0.77,6.89,0,0.77,0.77,0,0,0,3.06,0,0,167.75,0,0,0,0,0,0,0,3.06,0.77,0,0.77,0,0.77
120,0,0,0,0,0,0,21.56,0,0,1.96,0,0,0,0,0,0,0,0,0,150.9,1.96,0,0,0,0,0,0,3.92,0,0,1.96,1.96,0
