stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,5.26,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.83,5.26,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,15.73,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.26,3.15,0,0,37.76,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,2,17,2,0,4,0,0,0,2,3,1,0,1,0,0,0,0,11,0,0,4,52,3,0,4,1,0,0,3,1,2,16,0,0,0,0,0
 24-34,0,0,0,0,7.39,0,0,11.49,0,0.82,0,8.21,0,0,0,0,0,0,0,0,21.34,0,0,12.31,92.76,0.82,0,2.46,0,0,1.64,0,0,0.82,30.37,0,0,9.03,0,0
 36-46,0,0,0,0,8.86,0,0,5.64,0,0.81,0.81,8.06,0,0.81,0,0,0,0.81,0,0,25.78,0,0.81,9.67,54.79,1.61,1.61,2.42,0,0,0.81,0,0,0,24.98,0,0,1.61,0,0
 48-58,0,0,0,0,2.3,0,0,8.61,0,0.57,0.57,8.61,0,0,0,0,0,0,0.57,0,53.36,0,2.87,9.18,37.87,2.3,0.57,1.15,0,0,0,0,0,0,12.62,0,0,5.16,0,0.57
 60-70,0,0,0,0,7.85,0.98,0,11.78,0,2.94,1.96,16.69,0.98,0.98,0.98,0,0,0,0,0,114.84,0,0,5.89,29.45,0,1.96,0.98,0,0,0.98,0,0,0,4.91,0,0,1.96,0.98,1.96
 72-82,0,0,0,0,7.85,0,0,10.8,0,3.93,8.83,19.63,0.98,0.98,0,0,0,2.94,0,0,242.47,1.96,4.91,11.78,39.27,0,1.96,2.94,0,0.98,0,0,0,0,15.71,0.98,3.93,10.8,1.96,0.98
 84-94,0,0,0,0,15.93,0,0,21.24,0,2.12,3.19,12.74,1.06,2.12,0,0,1.06,0,0,1.06,147.62,0,3.19,6.37,23.36,4.25,2.12,2.12,0,0,1.06,0,0,0,9.56,2.12,5.31,6.37,2.12,1.06
 96-106,0,0,0,0,6.56,0,0,15.3,1.09,3.28,3.28,21.86,1.09,1.09,0,0,1.09,1.09,0,0,131.14,0,1.09,5.46,27.32,1.09,1.09,5.46,0,2.19,0,0,1.09,0,5.46,0,5.46,15.3,5.46,3.28
108-118,0,0,0.77,0,21.45,0.77,0.77,11.49,0,6.13,1.53,13.02,1.53,1.53,0.77,0.77,1.53,1.53,0,0.77,102.64,0,2.3,9.96,29.11,2.3,0.77,2.3,0,2.3,3.06,0,0.77,0,3.06,0,0,7.66,0.77,5.36
120,0,0,0,0,45.08,0,0,11.76,0,13.72,3.92,27.44,3.92,1.96,1.96,1.96,1.96,0,0,0,107.79,1.96,0,9.8,41.16,3.92,1.96,1.96,0,3.92,3.92,0,0,0,9.8,0,1.96,5.88,1.96,1.96
