stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,208.41,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,9.44,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,65,0,1,0,0,0,0,0,1,0,1,1,24,0,0,0,0,0
 24-34,0,0.82,0,1.64,0,0,9.85,0,0,0,2.46,0,0,0,1.64,0,0,0.82,0,0,1.64,0,0,1.64,193.72,0,4.1,0,0,0,0,0,0,0.82,1.64,0.82,79.62,0,0,0.82,0,0
 36-46,0,0.81,0,0.81,0,0,18.53,0,0,0,12.09,0,0,0,0,0,0,0,0,0,4.03,0,0,1.61,399.61,0.81,11.28,0,0,0,0,0.81,0,0,0.81,0,145.83,0,0,0.81,0,0
 48-58,0,0,0,0.57,0,0,62.54,0.57,0,0,22.95,0,0,0,0.57,0,0,0,1.15,0,5.16,0.57,0,1.15,341.41,0,7.46,0,0,0,1.15,0,0,0,0.57,0,88.94,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,193.36,0,0.98,0,37.3,1.96,0,0,0,0,0,0,0,0,9.82,0,0.98,0.98,490.76,0.98,8.83,2.94,0,0,0,0,0,0,0,0,84.41,0,0,0,0,1.96
 72-82,0,3.93,0,0.98,0,0,404.44,0.98,0.98,1.96,55.95,0,0,0.98,0.98,0,0.98,0.98,0,0,15.71,0.98,0,0,636.12,3.93,9.82,2.94,0,1.96,0.98,0,0,0,0.98,0,65.77,0.98,0.98,0.98,0,3.93
 84-94,0,0,1.06,6.37,0,0,243.21,0,0,0,35.05,0,0,0,0,2.12,0,0,0,1.06,15.93,0,3.19,1.06,322.86,4.25,13.81,1.06,0,0,2.12,0,0,0,0,0,27.61,1.06,1.06,2.12,1.06,0
 96-106,0,1.09,0,4.37,2.19,0,321.3,2.19,0,0,50.27,3.28,0,0,1.09,1.09,1.09,0,0,0,17.49,0,0,1.09,327.85,4.37,21.86,2.19,0,3.28,3.28,0,0,0,0,0,16.39,3.28,0,0,1.09,0
108-118,0,0,0,4.6,0,1.53,263.49,1.53,1.53,0,48.26,0.77,0,0,2.3,2.3,0.77,1.53,0,0,9.19,0.77,0.77,0.77,300.26,3.06,6.13,0.77,0,2.3,0.77,0,0,0,0.77,0,13.79,2.3,0,1.53,2.3,0
120,0,0,0,0,1.96,0,213.62,1.96,0,0,48.99,0,0,0,0,0,0,1.96,0,0,13.72,0,0,0,270.45,3.92,7.84,5.88,0,3.92,0,0,0,1.96,0,0,11.76,1.96,0,0,0,0
