stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,9.44,0,0,22.03,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,125,0,1,0,0,0,0,1,0,0,0,79,0,0,0,0,0
 24-34,0,0,0.82,0,1.64,0,0,6.57,0,0,0,0,0,0,0,0,0,0,0.82,0.82,0,0,0.82,692.8,0,7.39,0,0,0,0.82,0,0,0,0,183.05,0,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,0,58.81,0,0.81,8.06,0,0,0,0,0,0,0,0,3.22,0,0,1.61,1901.38,0,8.86,0.81,0,0.81,0.81,0,0,0,0,327.91,0,0,2.42,0,0.81
 48-58,0,0,0,0,5.16,0.57,0,257.06,0.57,0,20.66,0,0,0.57,0,0,0,0.57,0.57,9.18,0.57,0.57,1.15,2293.5,0.57,7.46,0.57,0,0,1.72,0,0,0.57,0,331.66,0,0,1.72,0,2.3
 60-70,0,0,0.98,0,3.93,0,0,596.77,0,1.96,34.35,0,0,1.96,0,0,0,0,1.96,20.61,0,0,0,3207.61,0,4.91,0,0,0,2.94,0,0.98,0.98,0,320.96,0,0.98,0,0,0.98
 72-82,0,0,0.98,0,9.82,3.93,0,558.57,0,1.96,52.03,0.98,0,2.94,0,0,0,0,0.98,26.5,0,1.96,3.93,2229.35,0,5.89,1.96,0,0,0,0,0,0.98,0,137.43,0.98,0,1.96,0.98,0.98
 84-94,0,0,2.12,0,14.87,3.19,0,406.76,3.19,0,33.99,0,1.06,2.12,0,1.06,0,0,1.06,28.68,0,0,2.12,1206.47,1.06,4.25,0,0,0,2.12,0,0,1.06,0,77.53,2.12,0,0,0,0
 96-106,0,0,1.09,0,20.76,4.37,0,244.8,0,1.09,31.69,0,0,2.19,0,0,2.19,2.19,0,16.39,0,1.09,2.19,954.06,0,4.37,2.19,0,0,10.93,0,0,0,0,22.95,0,1.09,1.09,0,1.09
108-118,0,0,1.53,0,7.66,1.53,0.77,176.17,0.77,2.3,21.45,0,0.77,0.77,0.77,0.77,1.53,0.77,0,12.26,0.77,0,1.53,911.5,0,2.3,0.77,0,0,0.77,0,0.77,0,0,22.21,0,0.77,1.53,0.77,1.53
120,0,0,0,1.96,5.88,0,0,182.26,0,0,25.48,0,0,1.96,3.92,1.96,0,0,0,15.68,0,0,3.92,1136.68,0,3.92,0,0,1.96,3.92,0,0,0,0,45.08,0,0,0,0,1.96
