stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,0,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,471.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0
  7-9,5.26,2.63,0,10.51,0,13.14,0,0,0,5.26,0,0,0,0,173.5,2.63,0,0,52.57,0,0,0,0,0,0
 10-12,0,9.44,0,3.15,0,15.73,0,0,0,0,0,0,0,0,62.94,12.59,0,0,18.88,0,3.15,0,0,0,0
 14-21,0,0,0,0,2,0,0,3,0,0,1,0,0,2,25,0,0,1,0,0,0,1,2,16,0
 24-34,0,0,0,0.82,0,4.1,0,0.82,1.64,0,0,1.64,0,1.64,85.37,0,0,0,0,0.82,0,0.82,0,21.34,0
 36-46,0,0,0,0,0,11.28,0,4.03,0,0,0,0,0,0,116.82,0,1.61,1.61,0,0,0,0,0,22.56,0
 48-58,0,0,0.57,0,0,14.35,0,3.44,0,0,0,0.57,1.15,0.57,105.01,0,0,0,0,0,0,0,0,10.9,0
 60-70,0,0,0,0,0,28.46,0.98,2.94,0,0,0,0.98,0,0,138.39,0,0,0,0,0,0,0,0,18.65,0
 72-82,0,0,0,0,0,7.85,0,5.89,0,0,0,3.93,0,0,46.14,0,0,0,0,0,0,0,0,3.93,0
 84-94,0,0,0,0,0,11.68,0,2.12,0,0,0,1.06,0,0,32.92,0,0,2.12,0,0,0,0,0,4.25,1.06
 96-106,0,0,0,0,0,1.09,0,3.28,0,0,0,0,1.09,0,14.21,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,3.06,0.77,3.06,0,0,0,1.53,0,0.77,16.85,0,0,0,0,0.77,0,0,0,2.3,0
120,0,0,0,0,0,0,0,1.96,0,0,1.96,1.96,0,0,19.6,0,0,0,0,0,0,0,0,3.92,0
