stage,endocrine.pancreas,epidermis,eye,glial,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,periderm,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0.82,0.82,0,0,0,0.82
 36-46,0,0.81,0,0,0,0,1.61,0,0,0,0,0,0,0
 48-58,0,0.57,0,0.57,0,0.57,0,0,0,1.15,0,0,0,0.57
 72-82,0.98,0,0,0,0,0,0.98,0.98,0,0,0,0.98,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,1.09,0,0,0,2.19,0,0,0,0,1.09,1.09,1.09
108-118,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
