stage,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,visceral_smooth_muscle
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,5.26,0,0,5.26,0,0,0,0
 10-12,0,0,6.29,0,0,3.15,0,0,0,3.15,0,0,28.32,0,0,6.29,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0
 24-34,0,0,0,0,0,1.64,0,0,0,0,0,2.46,20.52,0.82,0,0,0,0.82,4.1,0
 36-46,0,0,0,0,0,6.45,0,0.81,0,0,0,0,30.62,1.61,0,0,0,0.81,5.64,0
 48-58,0,0,0,0,0,10.33,0,1.72,0,0,0.57,0,19.51,0.57,0.57,0,0,0.57,1.72,0
 60-70,0,0,0,0,0,19.63,0,1.96,1.96,0,0.98,0,7.85,0,0,0,0,0,2.94,0
 72-82,0,1.96,0,0,0,9.82,0,1.96,9.82,0,3.93,0,9.82,0,0,0,0,0.98,0.98,0
 84-94,0,0,0,1.06,0,5.31,1.06,1.06,14.87,0,1.06,0,10.62,1.06,0,0,0,1.06,0,1.06
 96-106,0,0,0,1.09,0,5.46,0,1.09,12.02,0,0,0,8.74,0,1.09,0,0,0,0,0
108-118,0,0.77,0,0,0,1.53,0,3.06,11.49,0,0.77,0,9.96,0,0,0,0,0.77,0,0
120,0,0,0,0,1.96,9.8,0,1.96,7.84,0,5.88,0,7.84,0,0,0,0,0,1.96,0
