stage,blastomeres,epidermis,eye,glial,ionocyte,neural,notochord,olfactory,otic,periderm,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.64,0,0,0
 36-46,0,0.81,5.64,0,0,1.61,0,0,0,0,0,0,0
 48-58,0,0,27.54,0,0,2.3,0,0,0,0,0,0,0
 60-70,0,0,42.21,0,0,0,0,0,0,0,0,0,0
 72-82,0,0.98,46.14,0,0,2.94,0,0.98,0.98,0,0,0,0
 84-94,0,0,43.54,0,0,2.12,1.06,0,0,0,0,1.06,0
 96-106,0,1.09,16.39,1.09,0,1.09,0,1.09,0,0,0,0,0
108-118,0,0.77,7.66,0,0.77,0.77,0,0,0,0,0,0,0
120,0,0,13.72,0,0,0,0,1.96,1.96,0,0,0,1.96
