stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,glial,gut,hatching.gland,ionocyte,mesenchyme,mucous,neural,olfactory,periderm,spinal.cord,taste
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,40.91,0,0,0,9.44,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,5,0,0,0,4,0,0,2,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0,4.93,0,0,0.82,0
 36-46,0,0,0,0,0.81,0,0.81,0,0,0,0,0,24.98,0,0,1.61,0
 48-58,0,0,0,0,0,1.72,1.15,0,1.15,0,0,0,21.23,0,0,1.72,0
 60-70,0,0,0,0,0,1.96,1.96,0,0.98,0,0.98,0,44.17,0.98,0,0,0
 72-82,0,0,0,0,0,1.96,1.96,0.98,1.96,0.98,1.96,1.96,72.64,0,0,0,0
 84-94,0,0,0,0,0,4.25,0,0,0,2.12,1.06,0,30.8,2.12,0,1.06,0
 96-106,0,0,0,0,1.09,6.56,3.28,1.09,1.09,0,0,2.19,33.88,0,1.09,0,0
108-118,0,0,0.77,0,0.77,1.53,0.77,0.77,0,2.3,0,0,45.19,0,0.77,0,0.77
120,0,0,0,0,1.96,1.96,3.92,1.96,0,1.96,0,0,68.59,0,1.96,0,0
