stage,epidermis,erythrocytes,eye,glial,gut,heart,immune,lateral_line,mesenchyme,mucous,neural,otic,pronephros,spinal_cord,vasculature
 14-21,1,2,0,1,0,0,0,0,0,0,0,0,2,0,0
 24-34,0.82,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,1.61,0,0,1.61,2.42
 48-58,0,0,0,0,0.57,0,0,0,0,0.57,0.57,0,0,0,1.72
 60-70,0,0,2.94,0,0,0,0,0,0.98,0,3.93,0,0,0,0.98
 72-82,0,0,4.91,0,0,0,0.98,0,0,0,0,0,0,0,3.93
 84-94,1.06,0,5.31,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,12.02,0,1.09,1.09,0,0,0,1.09,1.09,0,0,0,4.37
108-118,0,0,4.6,0,0.77,0,0,1.53,0,0,0,0,0,0,3.06
120,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,1.96
