stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,1383.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,73.56,760.07,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.86,5.26,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,0,0,0,28.32,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,140,4,0,1,1,0,0,0,0,0,0,11,0,1,0,0,0,1,0,1,14,16,1,1,3,0,19,0,7,1,4,16,0,0,2,0,0
 24-34,0,0,1.64,2.46,168.28,3.28,0,1.64,12.31,6.57,1.64,1.64,0,1.64,7.39,22.16,0,0.82,0,0.82,2.46,4.93,0,1.64,80.44,23.8,3.28,3.28,0,0,67.31,0,0.82,2.46,18.88,41.86,0,0,13.95,0,0.82
 36-46,0,0,0.81,0,73.32,0,0,6.45,13.7,9.67,3.22,1.61,0,0.81,11.28,8.86,0,2.42,0,0,3.22,0,0,2.42,151.47,10.47,3.22,0.81,0,0,58.81,0,0,1.61,0,41.89,0,0,8.06,0,0
 48-58,0,0,0,0,55.09,0.57,0,18.36,16.64,8.61,5.74,0,0.57,1.15,11.48,6.31,0.57,0,1.72,0,8.03,1.72,0,0.57,204.85,5.16,0,1.15,0,0,48.2,0,0,0,0,41.31,0,0.57,1.72,0,0
 60-70,0,0,0,0,75.58,1.96,0,55.95,29.45,9.82,4.91,1.96,1.96,0,10.8,5.89,0.98,2.94,0.98,0,7.85,3.93,0,1.96,322.92,0.98,3.93,0.98,0,0,69.69,0.98,0,0,0,53,0.98,0.98,3.93,0,0.98
 72-82,0,0,6.87,0,108.96,0.98,0,118.78,37.3,18.65,14.72,10.8,0.98,0,35.34,17.67,0.98,1.96,3.93,0,29.45,9.82,0.98,0.98,469.23,1.96,3.93,1.96,0,0.98,124.67,0,0,0.98,0,57.92,1.96,0.98,0.98,0.98,1.96
 84-94,0,0,8.5,0,225.15,1.06,0,80.71,73.28,15.93,10.62,10.62,4.25,2.12,82.84,42.48,2.12,2.12,15.93,0,12.74,8.5,2.12,1.06,255.95,3.19,3.19,0,0,0,263.39,0,0,5.31,0,33.99,5.31,0,8.5,1.06,2.12
 96-106,0,0,4.37,0,246.98,3.28,3.28,75.41,74.31,10.93,13.11,20.76,0,3.28,66.66,31.69,2.19,2.19,12.02,0,21.86,18.58,0,1.09,226.22,1.09,7.65,5.46,0,0,262.28,0,0,0,0,17.49,8.74,0,8.74,1.09,0
108-118,0,0,3.06,0,268.85,3.06,1.53,49.79,103.41,19.15,17.62,21.45,0,1.53,68.94,39.06,7.66,2.3,39.06,0,24.51,7.66,0.77,2.3,245.87,0.77,6.13,0.77,0,0,154.72,0,0,1.53,0,6.13,22.21,0,2.3,0.77,0
120,0,0,0,0,215.58,0,1.96,33.32,72.51,5.88,5.88,17.64,0,0,41.16,23.52,1.96,1.96,19.6,1.96,15.68,7.84,0,0,241.05,1.96,1.96,5.88,0,0,127.39,0,0,1.96,0,7.84,3.92,1.96,5.88,0,0
